_NinjaTrades_,True,2019-02-07 15:05:00,2.346,AWSM TENX PH runs
_NinjaTrades_,True,2019-02-07 15:00:00,2.32,AWSM reentry 234 here
reee,,2019-02-07 14:21:00,2.377,AWSM not selling try harder to shake me out if you want
et14,True,2019-02-07 13:51:00,2.346,AWSM wow what was that huge block buy Im averaged at 243 We should be bouncing back soon
FayeLepage,True,2019-02-07 13:06:00,2.287,AWSM this is such garbage Im completely destroyed
skjer,True,2019-02-07 12:50:00,2.264,AWSM Great buy
je123,True,2019-02-07 12:45:00,2.287,AWSM Im still holding Dont care Waiting for bigger profits that 35 target
sslat_,,2019-02-07 12:09:00,2.273,AWSM should I take these shares to BIOC
biotex,False,2019-02-07 11:29:00,2.282,AWSM dontfollowme blocked a while ago but apparently he wants you to hold til 170 Amazin Lose your if you want
TraderNublet,False,2019-02-07 11:28:00,2.288,AWSM What did I say I said let it fall to the 220s and it did Love it when Im right
biotex,False,2019-02-07 11:20:00,2.217,AWSM man you pumpers got demolished Wheres that dontfollowme guy He must have stopped out with his lemmings
IndyJones,,2019-02-07 11:07:00,2.279,AWSM waiting to add keep coming lower please
TraderNublet,False,2019-02-07 09:59:00,2.305,AWSM pumpedthen dumped
