CodeeLine,,2019-02-11 15:31:00,0.3538,EARS when does rs take place
Jay_Smith,False,2019-02-11 15:18:00,0.3543,EARS 101 split inbound
Opie43,,2019-02-11 14:41:00,0.3612,EARS soooo when are we expecting some major news
FatNinjaRider,,2019-02-11 14:38:00,0.3618,EARS Great buying opportunity
MariaC82,,2019-02-11 14:32:00,0.3613,Price or Vol Decliners ao227pmEST MBIO TMSR CLDX KOPN EARS
jgraz,,2019-02-11 14:27:00,0.3625,EARS can this end
BullRexXx,,2019-02-11 13:44:00,0.3646,EARS
Urubu,,2019-02-11 13:15:00,0.3729,EARS AM111 Received FDAadvisory support on 82818 The FDA frame time responsefeedback is about 23 months
Double_O_Eight,False,2019-02-11 12:33:00,0.37,EARS a rope and chair formation on the 1day for bulls here
MariaC82,,2019-02-11 11:46:00,0.3674,Price or Vol Decliners ao1141amEST RGSE CLDX KOPN EARS RIOT
Yoshimitzu81,,2019-02-11 11:31:00,0.3738,EARS Now the prices will go up since nowif you dont buy now you will regret soon
Yoshimitzu81,,2019-02-11 11:30:00,0.3738,EARS For me this NASDAQ news was part of their strategymake the shorts sell all their shares and scare people and they did
carlosmadrid,True,2019-02-11 11:27:00,0.3739,EARS from this price we will see increases in mass convinced
carlosmadrid,True,2019-02-11 11:26:00,0.3739,EARS Now that they have accumulated they are going for the shorts its time to break positions so you do not see yourselves with your
carlosmadrid,True,2019-02-11 11:25:00,0.3738,EARS this was the worst scenario I contemplated in case of news
Bullsftw,,2019-02-11 11:17:00,0.3737,EARS lol rs possibly coming Reason why you shouldnt trade penny stocks
mrinvestorpro,,2019-02-11 10:47:00,0.3661,EARS 43 is a real number that exists post 3335 ok I know Im nuts but Im right and nuts thats s good combo right
mrinvestorpro,,2019-02-11 10:46:00,0.3664,EARS omg the world is ending sell sell sell to me please Easy 17 gain after fluctuations
carlosmadrid,True,2019-02-11 10:41:00,0.3733,EARS very good would be to close above 040
Bones431259,,2019-02-11 10:41:00,0.3733,EARS an extension approval might make it spike a little
carlosmadrid,True,2019-02-11 10:39:00,0.3739,EARS here you have the capture that I put was as far as possible very far but I think the shorts will suffer now
thomass5,,2019-02-11 10:36:00,0.3731,EARS rs offering repeat proof is in the share price
carlosmadrid,True,2019-02-11 10:36:00,0.3731,EARS I do not think that it lowered more had a gap than as commented previously have taken advantage of to take it on the 0388
BenJaminit,True,2019-02-11 10:28:00,0.3679,EARS watching for 37 Break
Urubu,,2019-02-11 10:27:00,0.3668,EARS thank you all for the opportunity to buy more 35
Game_Day,,2019-02-11 10:24:00,0.3636,Most of the action in INPX EARS RGSE
MagicMike86,False,2019-02-11 10:18:00,0.3649,EARS wtf is going on with this stock is been red since last year lol not making green Im loosing wth
hmgave,True,2019-02-11 10:18:00,0.3649,EARS Added a bunch here I think these guys will get it together by end of first Q They have no choice Not always in love here but
MYredCAP,,2019-02-11 10:14:00,0.3522,EARS trash just keep moving on down
JORDAN__BELFORT,,2019-02-11 10:12:00,0.3547,EARS another blacklist stock heading where it belongs trash can
ShiftyDlKN,,2019-02-11 10:10:00,0.352,EARS scam piece if shit
pac0369,False,2019-02-11 10:08:00,0.3502,EARS 35 coming fast Im not in it I think news in March will for sure pop this baby up
MNGAmoneyshredder,False,2019-02-11 10:06:00,0.3621,EARS lol all these bios getting rekt beautiful
saintvitus,False,2019-02-11 09:58:00,0.3613,EARS Im so glad I bought this trash right before they announced dilution moving scam headquarters to Bermuda and delisting notice FFS
Yoshimitzu81,,2019-02-11 09:57:00,0.354,EARS Is so funny how bears trying to scare peopleIs time to buy more EARS
severin,False,2019-02-11 09:55:00,0.3656,EARS unbelievable piece of shit Its dead our bermudan company
jgraz,,2019-02-11 09:54:00,0.3673,EARS not falling for this tho gonna hold
JiggyTookie,,2019-02-11 09:51:00,0.3708,EARS RIP Ears
Bones431259,False,2019-02-11 09:47:00,0.3697,EARS this is gonna be brutal
jgraz,,2019-02-11 09:43:00,0.3656,EARS wowwwww Bad pick
StockJunkie729,,2019-02-11 09:42:00,0.3777,EARS gone
dannman,,2019-02-11 09:39:00,0.3847,EARS volume is soaring 700k in 10 minutes
topstockalerts,True,2019-02-11 09:39:00,0.3847,Names to watchPYX MARA OTLK RGSE CLDX SAEX NAKD ATOS NBEV IPCI ONCY AGRX IGLD SOLO AMRH EYEN EARS AVCO
pac0369,False,2019-02-11 09:36:00,0.3873,EARS yes drop 35 coming
jgraz,,2019-02-11 09:31:00,0.404,EARS gonna get pooped on today
