sleekOptions,True,2019-02-11 15:56:00,408.134,REGN In the last one month 13 Winners above 30 and 4 Losers below 30
semantics,True,2019-02-11 15:26:00,406.707,GILD REGN two fav bios about to go off Wish I could double my positions
semantics,True,2019-02-11 15:21:00,406.481,REGN lower it stays the more I add to long position
cctranscripts,,2019-02-11 15:19:00,406.208,The Vanguard Group just provided an update on share ownership of Regeneron Pharmaceuticals conferencecalltranscriptso REGN
livetraderalerts,,2019-02-11 15:15:00,405.921,REGN 18m ago SEC Amended Beneficial Ownership Report SC 13GA REGENERON PHARMACEUTICALS INC secgovArchivesedgardata
passiontrader1,True,2019-02-11 15:06:00,405.4,REGN EOD always 4065 Algos
WinningNewsletters,,2019-02-11 14:06:00,403.911,Moderate Portfolio buying REGN today wwwforesitestockadvisorscom
EstimizeAlerts,,2019-02-11 13:35:00,403.622,Estimize revenue expectations are 651 higher than that of Wall Street for REGN Q1 Reporting 0502 BMOestimizecomintroregncha
EstimizeAlerts,,2019-02-11 13:34:00,403.518,REGNs EYLEA US Product Sales is a key growth metric for their next report on 0502 BMO Will they beat last quarters 1079M EYLEAestimizecomintroregncha
jaredb428,,2019-02-11 13:06:00,403.785,REGN they dropped the price on some of their drugs Ouch
semantics,True,2019-02-11 12:57:00,404.425,REGN back in long with some calls
Kolorado,,2019-02-11 12:37:00,404.973,REGN added here
b3rry345,True,2019-02-11 11:18:00,404.1,REGN
VolumeBot,,2019-02-11 10:58:00,404.998,Short volume percent for REGN was 377 on 020819 volumebotcomsREGN
soaringall2019,,2019-02-11 09:49:00,403.905,REGN CRON CGC ACB FB AAPL
jaredb428,,2019-02-11 09:36:00,406.681,REGN is there a glitch in the matrix
