PULMSHORT,False,2019-02-12 15:52:00,0.7697,PULM You have to seriously question your trading ability if you think you should go long here
Gypsylicious,,2019-02-12 15:51:00,0.77,PULM in 769
Rangerup,True,2019-02-12 15:50:00,0.77,PULM an insider buy this week would be a great sign of confidence for longs
PULM,,2019-02-12 15:50:00,0.77,PULM oh geeze the shills r back hey clarke FUQ U HAVE I TOLD U TODAY HOW ECSTATIC I AM TO BE OUT OF UR POS DONT BUY THIS
RawlsRoyce,True,2019-02-12 15:49:00,0.7725,PULM
rickdiculous81789,True,2019-02-12 15:48:00,0.7746,PULM in at 76 for a swing
PULMSHORT,False,2019-02-12 15:47:00,0.7724,PULM Ha ha ha So EZ even an Owinski can do it
DCCORP2000,True,2019-02-12 15:47:00,0.7724,PULM Who got the balls to hold Losers sold today
DCCORP2000,True,2019-02-12 15:46:00,0.7737,PULM
Shakenbake56,True,2019-02-12 15:39:00,0.7705,PULM closing today AH options then News Lets GO
BullishTradings,,2019-02-12 15:38:00,0.7705,PULM had good news this morning and is trading deep in the red Im watching this recent RS
Rangerup,True,2019-02-12 15:34:00,0.7689,PULM adding on TA alone taking a little profit from
OptimusGainz,,2019-02-12 15:33:00,0.769,PULM Congrats to those who loaded below 80s Green days starting tomorrow Feeling confident with 78 avg PR news parabolic move soon
StockIt21,True,2019-02-12 15:24:00,0.7687,PULM
dirkfrank,,2019-02-12 15:23:00,0.7689,PULM it thought it could only go upto get to 195
SniperStocks,True,2019-02-12 15:23:00,0.7689,PULM added more
vasper,,2019-02-12 15:18:00,0.7664,PULM dont worry its going up hahaha over sold lol
karstonsucks,True,2019-02-12 15:17:00,0.7599,Dman20200 you looking to buy PULM Looks like its at support thoughts on this
tdunning2000,,2019-02-12 15:14:00,0.7747,PULM wtf is happing here lol
brptrader,,2019-02-12 15:12:00,0.7747,PULM unfreaking believable
rstein,,2019-02-12 15:11:00,0.7701,PULM I know this is one of the Worst stocks out there but I want to try my luck
waywin22,True,2019-02-12 15:09:00,0.7719,PULM PT 100 after offering closed Easy 20 percent for a swing
OptimusGainz,,2019-02-12 15:07:00,0.7733,PULM Buying more plan to hold this week Easy 50200 gain swing
Raider_in_Blk,True,2019-02-12 15:05:00,0.7746,PULM finallythe last pull of the purse stringseat up
