InsiderForms,,2019-02-13 15:42:00,81.026,Horizon Investments LLChas filed Form 13F for Q4 2018Opened NEW positions in T ABT ABBV APD AEE BHGE AVGO CME CMCSA COTY DOV
ChartMill,,2019-02-13 15:33:00,81.155,ABBV shows a strong growth in EPS 1618 which is quite good chartmillcomanalyzephpu
InsiderForms,,2019-02-13 15:14:00,81.143,Milestone Group Inchas filed Form 13F for Q4 2018Opened NEW positions in T ABBV AKBTY GOOG GOOGL AMGN ANTM BAX C DIS FB GM
EderT,,2019-02-13 15:00:00,81.175,ABBV when is dividend payout date
EderT,True,2019-02-13 15:00:00,81.175,ABBV like clockwork the movie back to 90 Like I said swing traders dream
InsiderForms,,2019-02-13 14:42:00,81.25,Berman Capital Advisors LLChas filed Form 13F for Q4 2018Opened NEW positions in AFL AGCO AGNC AES ASGN AUO AZZ AAN ABBV ABMD
InsiderForms,,2019-02-13 14:42:00,81.25,ELEMENT CAPITAL MANAGEMENT LLChas filed Form 13F for Q4 2018Opened NEW positions in AGCO MITT ANGI T ABBV ABMD A ALK ARE MDRX
InsiderForms,,2019-02-13 14:13:00,81.217,Advisory Alpha LLChas filed Form 13F for Q4 2018Opened NEW positions in T ABBV AMZN AXP AMGP AAPL BLL BAC BRKB CAT CHK CVX
globalmacro,True,2019-02-13 14:12:00,81.237,ABBV CVS CAH MDT This is how longterm sector bases form Watch and learn Couldnt add enough the last few months SPY IHF IBB XBI
trademill,True,2019-02-13 14:06:00,81.171,ABBV I am so happy that 80 seller is gone Now this can finally run
InsiderForms,,2019-02-13 13:44:00,81.1,Mork Capital Management LLChas filed Form 13F for Q4 2018Opened NEW positions in ABBV AVGO CNQ COMM DUK HSBC HBI HOG HUBB HUN
InsiderForms,,2019-02-13 13:44:00,81.1,BOWEN HANES CO INChas filed Form 13F for Q4 2018Opened NEW positions in ABBV AEE AMGN ADI ADM ADSK BHGE CPB CAH CMC COP ED
STOCKPICKERTRADER,True,2019-02-13 13:28:00,81.085,ABBV really looking like a breakout building for upside here and love that 53x dividend to add to the wait
EstimizeAlerts,,2019-02-13 13:21:00,81.045,Estimize EPS expectations are 040 higher than that of Wall Street for ABBV Q1 Reporting 0426 BMOestimizecomintroabbvcha
nicho208,True,2019-02-13 13:02:00,80.946,ABBV
Subkom,,2019-02-13 12:59:00,80.913,ABBV criminally underrated fair value is well above 100
InsiderForms,,2019-02-13 11:11:00,81.04,MRJ CAPITAL INChas filed Form 13F for Q4 2018Opened NEW positions in ABBV FDX FTDR SLB
angi69,,2019-02-13 11:04:00,81.11,ABBV simply undervalued
angi69,,2019-02-13 10:58:00,80.963,ABBV target 1 week 8500
InsiderForms,,2019-02-13 10:41:00,80.843,ALLSTATE CORPhas filed Form 13F for Q4 2018Opened NEW positions in ABM AFL ABT ABBV ATVI ADBE ASIX AMD AMG A APD ALB AA ALXN
