drstockz,True,2019-02-14 15:59:00,51.02,FSLR
zangnut,,2019-02-14 15:28:00,51.162,FSLR To whom it may concern Enough with the sellshort program You have enough shares Lets go the other way and stay
zangnut,,2019-02-14 15:13:00,51.154,FSLR Still shaking people out Gonna close below 200 day Come on Were ready to go and stay up
fullbull,True,2019-02-14 14:23:00,51.354,SPWR Record commercial bookings also interesting for FSLR
EstimizeAlerts,,2019-02-14 13:45:00,51.325,Estimize revenue expectations are 114 higher than that of Wall Street for FSLR Q1 Reporting 0425 AMCestimizecomintrofslrcha
OptionsTL,,2019-02-14 12:27:00,51.1,REPEAT ACTION on different expiration FSLR Mar 152019 525 Calls 161600 Attempting to get above 200dma
drstockz,True,2019-02-14 12:12:00,50.875,FSLR maybe they are letting big money load before takeoff
crab22,,2019-02-14 12:09:00,50.853,FSLR every company has reported strong order books lately it seems madness WS is keeping this stock down
dogNuts26,,2019-02-14 10:59:00,51.136,FSLR when do they report
sleekOptions,True,2019-02-14 10:56:00,51.12,Update4 FSLR Feb15 50 Calls Up 73 since alerted on Feb 04
outkastisbackintown,,2019-02-14 10:26:00,51.15,FSLR 51 26 is next we havent seen it since September
outkastisbackintown,True,2019-02-14 10:24:00,51.22,FSLR We keep braking through 52 and we are officially in a uptrend
jmp470,,2019-02-14 10:20:00,51.152,SPWR multiple trades today Great day FSLR also an ok trade today Off to do yard work
ThanhVII,,2019-02-14 09:57:00,51.006,SPWR Still has a lot of catching up to FSLR CSIQ JKS ENPH which are all at 6 months high TAN
jmp470,,2019-02-14 09:51:00,50.83,FSLR breaking out due to SPWR earnings
drstockz,,2019-02-14 09:50:00,50.759,FSLR I honestly believe this is Solars year Dems will be in media all year pushing climate and I missed the 2017 run not this time
InsiderForms,,2019-02-14 09:44:00,50.776,KEY GROUP HOLDINGS CAYMAN LTDhas filed Form 13F for Q4 2018Opened NEW positions in AA BHGE CXO UGLD ETRN FSLR SLV KOS MTDR
EstimizeAlerts,,2019-02-14 09:39:00,50.626,Heres what 34 Estimize analysts believe FSLR will report for Q4 2018 EPS Reporting 0221 AMCestimizecomintrofslrcha
