dror76,True,2019-02-14 15:53:00,1.439,IFMK mmm
Anunaki,,2019-02-14 15:52:00,1.464,IFMK what did i miss here They r back
seckinoldo,True,2019-02-14 15:44:00,1.378,IFMK added at 110 So glad i did keep it going
edaws21,,2019-02-14 15:42:00,1.38,IFMK she going Continue through AH
s0phisticatedtrdr,True,2019-02-14 15:35:00,1.329,Scan spat this out for continuation tomorrow This is not a call I want you to studyFUVIVCIFMKEFOIOXBRPLUGGWGHCAASMTRN
NitinRockz,True,2019-02-14 15:34:00,1.337,IFMK whats going on here
Lincoln_Todova,True,2019-02-14 15:18:00,1.234,19 tickers are good ideas to swing into tomorrow Here are the first 6 CTXR GLOW GSUM ICON IFMK IGLD Subscribe for more ideas
edaws21,True,2019-02-14 15:18:00,1.234,IFMK looks good smells bad
robertoseda,True,2019-02-14 15:04:00,1.271,IFMK PH lets go
dbeeheim,,2019-02-14 15:03:00,1.268,IFMK going parabolic from here if news ah
dbeeheim,,2019-02-14 14:53:00,1.237,IFMK they are adding new stores
robertoseda,True,2019-02-14 14:38:00,1.201,IFMK Breaks 150 and adding
robertoseda,True,2019-02-14 14:37:00,1.193,IFMK
seckinoldo,,2019-02-14 12:42:00,1.083,IFMK ah should be interesting Whats the explanation for the CEO sell Hostile takeover
Double_O_Eight,False,2019-02-14 11:32:00,1.112,IFMK isnt this the one where the CEO just sold 7 million shares for 085 yeah Confidence
BootyCall,,2019-02-14 10:28:00,1.067,WL LPTX is heating up Also watching JMU OHRP WHLR IFMK CEI GNMX RTTR VTVT
