PhilFreakingFrost,,2019-02-14 15:51:00,2.782,OPK We are just a few minutes away from putting this one in the win column for today Can it sustain the incredible momentum
StockFreedom,,2019-02-14 15:49:00,2.78,OPK why are there no Analyst writing about the piss poor managementboard in this company Do your DD orand avoid
tradertrash,,2019-02-14 15:09:00,2.779,OPK Frosty throws so much crap at us so fast frequent lets call the latest Shenanigan Dilusional Dilution Dilemma
FSIRAM,,2019-02-14 13:35:00,2.785,OPK Up a penny and people are excited I just fell off my chair at the bar
tymtested,True,2019-02-14 13:08:00,2.77,OPK or ZUO
tymtested,True,2019-02-14 13:07:00,2.78,OPK they should have bought BA
tymtested,True,2019-02-14 13:07:00,2.78,OPK tutes buying cuz OPKO has no future
Fixaleg,True,2019-02-14 12:53:00,2.771,OPK looks like some institutions stepping up share buying reported today Invesco 610k Lehman 52k MANA 19k
InsiderForms,,2019-02-14 12:43:00,2.774,KLCM Advisors Inchas filed Form 13F for Q4 2018Opened NEW positions in AR HD ITW IP KR MS OPK
Fixaleg,True,2019-02-14 12:31:00,2.78,OPK Citi added 13M shares reported on 212 Wells Fargo 550k shares 211
Fixaleg,True,2019-02-14 12:25:00,2.783,OPK to be fair some institutions buying shrs reported today UBS 800kSusquehanna 693kOxford 190KART 220k
TrustThisWitch,True,2019-02-14 12:21:00,2.78,VCEL I SEE A 52 WEEK HIGH IN OUR FUTURE LOVE VCEL VSTM ALPMY OPK IMMU IONS NBIX OSUR
EveryManaKing,,2019-02-14 12:03:00,2.775,OPK Ilhan Omar hates people like Phil Frost but not because of OPKO
tradertrash,,2019-02-14 11:55:00,2.775,OPK slow sales in Ray 4k failed 8004 i forgot to throw my hat on the ice cuz ol frosty got a hat trick
PhilFreakingFrost,,2019-02-14 11:52:00,2.775,OPK I suggested ZUO to someone on 26 Its having a decent day with volume today The 300 people whove blocked me never saw the message
PhilFreakingFrost,,2019-02-14 11:48:00,2.78,OPK When youre really hurting make up some ridiculous rumor tymtested
dloeb,,2019-02-14 11:43:00,2.781,OPK showing this thing GREEN today when market is tanking Must be a sign we have bottomed and about to head higher Time to BYE
DavidHasselhoff,,2019-02-14 11:03:00,2.768,OPK little surprised frosty stopped buying When does debt round close Guessing he buys anything that isnt taken like over allotment
tradertrash,,2019-02-14 10:49:00,2.765,OPK 19to2 that about sums it up
vinniyo,,2019-02-14 10:37:00,2.76,OPK tradertrash oh nm
vinniyo,,2019-02-14 10:36:00,2.763,OPK tradertrash can we get your opinion on opko
tradertrash,,2019-02-14 10:34:00,2.755,OPK frosty trying to build this huge empire and the sales revenue dont justify itJuice doesnt equal the Squeeze imo
tradertrash,,2019-02-14 10:24:00,2.752,OPK insiders own majority of co i dont see anything changing They seem to be good with the way things are going
TrustThisWitch,True,2019-02-14 10:18:00,2.75,PVCT HELLOANYONE HERE Excellent Gamble Riskyish Bio for those who can take the Heat Im Buying PVCT OPK OSUR IONS GERN
Magic_Money,True,2019-02-14 09:55:00,2.765,OPK JohnOPKO account started today Can you guess who he is Already here badmouthInga the stock
Magic_Money,True,2019-02-14 09:39:00,2.745,OPK funny how people who dont own the stock and spue negative inaccurate information say they are not short
Clear_as_mud,,2019-02-14 09:35:00,2.74,OPK SP speaks for itself still think annual SH meeting vote them out or at least try
VolumeBot,,2019-02-14 09:34:00,2.739,Aggregate short volume reported to FINRA for OPK was 392763 on 021319 volumebotcomsOPK
Fixaleg,False,2019-02-14 09:31:00,2.745,OPK State Street reported a reduction from 22M shares down to 15M shares on 21319 Number of institutions reducingeliminating position
