longjohntrader,,2019-02-15 14:50:00,0.5652,APDN will close above 058
PerfectHindsight,True,2019-02-15 13:54:00,0.5656,CGC TPB CRON TLRY up 5 on APDN REED already Good CALL Ready for the double digits next week
SerialTrader72,True,2019-02-15 13:46:00,0.5415,APDN very soon
PerfectHindsight,True,2019-02-15 12:52:00,0.5418,CGC TLRY CRON TPB adding APDN REED to my list lets do this
Fixer00,True,2019-02-15 11:16:00,0.5651,APDN could get 10 jump today
SerialTrader72,True,2019-02-15 11:11:00,0.5632,APDN needs more volume here
DeeJayQuikFEET,,2019-02-15 11:00:00,0.5724,APDN Climbing
SerialTrader72,True,2019-02-15 10:59:00,0.5746,APDN dont miss it
ezzoe,,2019-02-15 10:45:00,0.5412,APDN gap up soon
SerialTrader72,True,2019-02-15 10:41:00,0.5402,APDN pt 070
SerialTrader72,True,2019-02-15 10:17:00,0.5401,APDN watch out exploding
