EstimizeAlerts,,2019-02-19 14:36:00,11.25,GME analysts on Estimize expect 750 YoY growth in Comparable Store Sales for Q4 down from 17485 in previous year Reporting 032estimizecomintrogmechar
optionsforcashdotcom,,2019-02-19 13:48:00,11.185,GME Mgmt publicly said they stopped putting GME up for sale because of difficult financing But that does not mean it wont eventually sell
MoneyByTheCharts,,2019-02-19 13:27:00,11.175,GME struggling today
EstimizeAlerts,,2019-02-19 12:33:00,11.21,GME estimates distribution heres what 23 Estimize analysts are expecting GME to report for Q4 Reporting 0327 AMCestimizecomintrogmechar
w97,,2019-02-19 11:42:00,11.22,GME ToysRUs will put pressure on GME margins
RICKSEBASTIAN,True,2019-02-19 10:43:00,11.214,GME keep buying
RICKSEBASTIAN,True,2019-02-19 10:36:00,11.225,GME
SamWiser,,2019-02-19 10:33:00,11.199,GME 1kshares with a minus 10 april 19 protection
MoneyByTheCharts,True,2019-02-19 10:30:00,11.215,Take down to load up GME WTW my favorite picks for March
MoneyByTheCharts,True,2019-02-19 10:28:00,11.168,GME taking it lower to load up before the data comes out tonight NPD
