keremoner,,2019-02-19 15:55:00,3.63,LC Waiting for the announcement at the beauty pageant Hope we do not have a Steve Harvey moment
JoeStockTrader,True,2019-02-19 15:45:00,3.644,LC just got me some March 15th 4 calls
RockingHorseWinner,,2019-02-19 15:29:00,3.63,LC hopefully we get another beatraise across the board on a successful up fico shift to biz model and most importantly vision for future
tradesight,,2019-02-19 15:26:00,3.62,Notable companies reporting after market close AWK CDNS CXO DK DVN FANG FE HLF LC TXRH VRSK
androsForm,,2019-02-19 15:09:00,3.615,LC numbers look tight top line bullish bottom guideim going bullish
EstimizeAlerts,,2019-02-19 13:38:00,3.56,Heres what 24 Estimize analysts believe LC will report for Q4 2018 EPS Reporting Today 0219 AMCestimizecomintrolcchart
EstimizeAlerts,,2019-02-19 13:09:00,3.566,Heres what 3 Estimize analysts believe LC will report for Q1 2019 EPS Reporting 0507 AMCestimizecomintrolcchart
risenhoover,,2019-02-19 13:07:00,3.573,LC LendingClub files form 424B3 httpsfinteliofilingsuslc
Hotel6,,2019-02-19 12:58:00,3.578,LC current sentiment leading up to ER youtubecomwatchviDVuQi4
ProfessorFrink,,2019-02-19 12:43:00,3.576,LC Tempted to take a small short into earnings here
misteryu,False,2019-02-19 11:41:00,3.591,LC tightened credit Recession incoming LC isnt prepared This goes to 3
EstimizeAlerts,,2019-02-19 11:12:00,3.57,LC analysts on Estimize are expecting 1776 YoY revenue growth for Q4 down from 1988 in Q3 Reporting Today 0219 AMCestimizecomintrolcchart
epsguid,,2019-02-19 11:01:00,3.562,LC is scheduled to report earnings after the market closes today via eWhispers earningswhisperscomstockslc
risenhoover,,2019-02-19 10:43:00,3.56,LC LendingClub files form 424B3 httpsfinteliofilingsuslc
Michrod1,,2019-02-19 10:14:00,3.59,LC How much profit do we predict
eWhispers,,2019-02-19 09:33:00,3.56,PM earnings DVN FIVN HLF LZB NVTA FANG CDNS CXO TXRH CRMT SAND NAT SSTI LC AWK RARE VRSK DK IIN earningswhisperscomcalendar
