GLobster,,2019-02-22 15:43:00,138.325,CAT Here comes power hour and the not dead cat bounce Together buckle your seatbelt Shortys
GLobster,,2019-02-22 14:58:00,138.038,CAT this will close with AH authority all this garbage from the Unknown sources means its all a way to push out weak hands n take ur
TradeSniperz,,2019-02-22 14:55:00,138.086,CAT Guess well wait and see if its worth averaging down next week doesnt look good
GLobster,,2019-02-22 14:51:00,138.169,CAT I like that tweet some random person puts up Trump said Blah blah Im just going to tweet my own crap and see if that works lol
TradeSniperz,,2019-02-22 14:40:00,138.12,CAT about to start bleeding Ramen noodles tonight boys
WallStreetWhisperer,,2019-02-22 14:36:00,138.096,MUSPYQQQAAPLCATWhatever that means Lol
Stocknews18,,2019-02-22 14:22:00,138.61,NVDA FB BABA AAPL CAT BA SPY about to drop 23 near 2740 level I think
im_a_genius,,2019-02-22 13:40:00,138.795,MSFT SPY NDX AMD SBUX CAT QQQ so proud of my performance the last three months Have been banking off these on the rise since Dec
lara,True,2019-02-22 13:28:00,138.801,BA CMI MMM DE CAT must rally now cnbccom20190222trumpx
lara,True,2019-02-22 13:20:00,138.628,CAT buyers keeps it above 200dma
TradeSniperz,,2019-02-22 12:54:00,138.68,CAT hope notIf it wasnt for TLT Id be bleeding today
jprez89,,2019-02-22 12:16:00,139.17,CAT short cat soon
MarketRealist,,2019-02-22 12:12:00,139.229,AAPL HOG KO GM F TSLA GE NVDA CAT MSFT BA QCOM NFLX ORCL INTC MU BABA T TCEHY BIDU GOOG AMD AMZN MMM marketrealistcom201902c
WallStreetWhisperer,True,2019-02-22 12:08:00,139.29,MUSPYAAPLCATIf s wouldve paid attention to key indicators they wouldnt be shorting this market 4 the past 3 weeksFellow
nunner67,,2019-02-22 11:47:00,138.92,CAT unknown source market manipulation through fake news
GLobster,,2019-02-22 11:42:00,138.91,CAT thats a good retaliation from an unknown source if you tax our autos we will tax heavy machinery copy machines and luggage Really
GLobster,,2019-02-22 11:03:00,138.15,CAT especially CNBC reporting this NOONE else hasnt anyone else seem them target Cat specifically they clearly have financial motive 4 BS
GLobster,,2019-02-22 10:59:00,138.232,CAT this will bounce right back Totally agree this is all scuttlebutt EU is going to go tit for CAT on an auto tariff BS100 bluff
TradeSniperz,,2019-02-22 10:54:00,138.238,CAT I guess things could always be worse I could have bought EA calls whew
TradeSniperz,,2019-02-22 10:51:00,138.208,CAT Where is everyone that was saying this thing was going straight to 145 and then 151
harsh2010,,2019-02-22 10:49:00,138.31,CAT this will not go below 138 today because MM options expiry day but nrxy week get ready for 135 below
bobknight,,2019-02-22 10:46:00,138.282,CAT need to hold 200 DMA 13785 or next week looks rough
TradeSniperz,,2019-02-22 10:31:00,138.407,CAT Might have gotten back into this thing to early should have taken my original 175 profits and moved on
nunner67,,2019-02-22 10:30:00,138.323,CAT seems very specific to couple of companies normally tariffs are sectorial basis reeks of scuttlebutt looking to fill sell orders
GLobster,,2019-02-22 09:40:00,139.234,CAT yea and seeking alpha are the biggest short selling morons as well
GLobster,,2019-02-22 09:39:00,139.221,CAT Like the EU in the mess they are in already are really going to add this to the list of fubars on the resume Highly doubtful Comical
GLobster,,2019-02-22 09:37:00,139.395,CAT so in the matter of 30 minutes CNBC has taken a liking to Cat and on min 28 they must have got a nudge from Kramer saying what r u doin
OptionsPlay,,2019-02-22 09:36:00,139.384,CAT BA SPY Forget FANGs Lay Off Drugs Industrials Are the New Big Trade httpswwwbloombergcomnewsarticles20190222forgetfangslayoffdrugsindustrialsarethenewbigtradesrndpremium
GLobster,,2019-02-22 09:32:00,139.125,CAT oh CNBC at it again what a bunch of jokers
harsh2010,,2019-02-22 09:30:00,138.742,CAT tariff news not affecting this lol
