Abnorm,,2019-02-25 15:55:00,6.135,NOK Such a nice bump at night and back to the baseline as soon as market opens LameDue to European 5G delay most likely
Masterbob79,,2019-02-25 15:03:00,6.135,NOK Im gonna find a different stock This company doesnt try or something This should be bigger
msumak,True,2019-02-25 14:07:00,6.122,zdnetcomarticlemwc2019 INSG NOK Optus
H20oO,,2019-02-25 14:03:00,6.125,NOK just buy puts
H20oO,,2019-02-25 14:02:00,6.125,NOK feel bad for those suffering
topstockalerts,,2019-02-25 13:41:00,6.128,Barrons On The New Cold War in TechBABA AVGO CSCO BIDU MU NOK TSMmbenzingacomarticle1323
osl76,,2019-02-25 13:03:00,6.15,NOK i found the answer the Norwegian Krone is down
Stockhoot,,2019-02-25 13:02:00,6.155,US MARKET MOST ACTIVES GE AMD NIO KHC BAC SNAP IQ CHK JD NOK stockhootcomextTopMovers
autismspeaks,,2019-02-25 12:05:00,6.18,NOK resorting to voodoo magic to get this stock up
Benzinga,,2019-02-25 12:00:00,6.185,Barrons On The New Cold War in Tech AVGO MU BABA BIDU CSCO NOK TSM benzingacomtech1902132
ITZA1,,2019-02-25 11:49:00,6.185,NOK this is a very flat stock
H20oO,,2019-02-25 10:39:00,6.15,NOK maybe NOK should release bad news and it will go up Cause all these improvements arent moving price up Lolol
H20oO,,2019-02-25 10:39:00,6.15,NOK was looking at NOK and noticed the big news the released bout 5g network Whats up with the drop theflycomlandingPageNews
optionsforcashdotcom,True,2019-02-25 10:33:00,6.175,NOK Relatively low trading volume on this pull back Bet it pops soon Saudi Telecom signs with NOK 5G
Cshnbnk,,2019-02-25 10:16:00,6.164,NOK Im n at 616
prairiefirehk,,2019-02-25 10:05:00,6.202,NOK seriously What are you doing
Battlerat1,,2019-02-25 09:30:00,6.276,moneycontrolcomnewsbusinNOK My last post was a snapshot from this article
