emmanuel5,True,2019-02-25 15:56:00,1.449,TRVN Picked up 200 more just before market close
LeftyT,True,2019-02-25 15:52:00,1.435,TRVN Added 50 to my position here today at 143 and packed away a few more Sept calls Its going to be a great year
Nikogiannopoulos23,,2019-02-25 15:42:00,1.438,TRVN wish we could stay around 350
ThePrintinPress420,True,2019-02-25 15:09:00,1.451,TRXC OPGN TRVN CVRS LETS GOOO
badboys13boys,True,2019-02-25 14:58:00,1.446,TRVN are they going to make a formal announcement for ER date might be waiting for more info to drop at ER
Duty780,True,2019-02-25 14:52:00,1.438,TRVN power hour Was able to buy a small amount more at 143 More funds will be ready tomorrow
ajax22,,2019-02-25 14:42:00,1.438,TRVN Wow someone is loading the boat at 143 Good for them Cant wait to see where this goes over the next year Ive got plenty of time
nicklantz,False,2019-02-25 14:25:00,1.448,TRVN Dropped my position today Tired of waiting around for nothing
OldGeez,,2019-02-25 13:58:00,1.465,Some on this board mention TRVN This company also has a pain med that may or may not be FDA approved Why I should also consider TRVN Tx
DirtyBelfort,,2019-02-25 13:57:00,1.47,TRVN pop seems to be coming
doepfer_xxl,False,2019-02-25 13:46:00,1.441,TRVN ouch but lets see a real drop pm trap
teaman60,,2019-02-25 13:45:00,1.44,TRVN i am so tempted to do a Stop Limit on this
Duty780,True,2019-02-25 13:43:00,1.447,TRVN close 149 today
alokdoc,True,2019-02-25 13:31:00,1.44,TRVN will be above 2 in few weeks
Angry_Badger,True,2019-02-25 13:17:00,1.456,TRVN
Duty780,True,2019-02-25 12:15:00,1.444,TRVN good opportunity to add Im out of money until tomorrow
M592018,True,2019-02-25 12:07:00,1.43,TRVN Yep Im very long and
ECHK,,2019-02-25 12:00:00,1.443,TRVN XBI up 45 percent and this is flat not sure the disconnect now
MisterOrange,True,2019-02-25 11:49:00,1.45,TRVN Im waiting for 135 then loading with 10K more
marcosantana,True,2019-02-25 11:49:00,1.45,TRVN This is a great investment If you are patient
dgswim,,2019-02-25 11:46:00,1.44,TRVN how many did they add at what price
GalTrader,True,2019-02-25 11:44:00,1.45,TRVN Doubt the CEO and director of TRVN would have added shares if they didnt think it was going to get approved Just saying
noahe,True,2019-02-25 11:43:00,1.458,TRVN added more at 142 earlier 142 seems to be new floor price it cant seem to drop below it goodbye 130s only way from here is up
frekko77,True,2019-02-25 11:42:00,1.459,TRVN another 200 shares
jerrygs430,True,2019-02-25 11:39:00,1.453,TRVN another 1000 shares to collection
jerrygs430,True,2019-02-25 11:38:00,1.46,TRVN
dgswim,,2019-02-25 11:36:00,1.457,TRVN thank you im not crazy i did in fact see that too true or not it does in fact lump trvn with others thats all i tried to say
KARB,True,2019-02-25 11:35:00,1.455,TRVN Article talks of TRVN withholding negative data from FDA Fake news
dgswim,,2019-02-25 11:26:00,1.434,TRVN sorry guys i have tried to show the link to some who asked im not good at navigating this forum and then today its new looking
TRADESEVERYTHING,True,2019-02-25 11:24:00,1.43,best plays of the day ONCE CIFS BLNK SFUN ARCI Best shorts are TRXC and TTNP Best long shots are TRVN IQ
ajax22,,2019-02-25 11:21:00,1.45,TRVN If you didnt listen to ADCOM and dont know the pipeline do us a favor and shut the fuck up about a couple of cents gained or lost
alan7,True,2019-02-25 11:20:00,1.45,TRVN GREEN
GalTrader,True,2019-02-25 11:10:00,1.463,TRVN Listened to ADCOM last year lost by 1 vote with 3 doctors saying they would have voted yes with more data Will get approved this time
alan7,True,2019-02-25 11:07:00,1.46,TRVN almost green
GalTrader,True,2019-02-25 11:04:00,1.458,TRVN Any resubmission news and this will fly
Arpeggio,,2019-02-25 10:59:00,1.447,TRVN waiting patientlysimple path to approval docs will use this and patients will benefit win win IMHO A real no brainer
lolo34,True,2019-02-25 10:58:00,1.452,TRVN
Reprofish,True,2019-02-25 10:52:00,1.432,TRVN wake me up when she hits 5 Going back to sleepagain
dgswim,,2019-02-25 10:47:00,1.43,TRVN not sure why it will not let me copy and paste the link here its in the KPTI chat area
dgswim,,2019-02-25 10:45:00,1.437,TRVN it will not let me its lumping in KTPI and TRVN
dgswim,,2019-02-25 10:44:00,1.437,TRVN im trying to post a link to a negative article released today
Scudz,,2019-02-25 10:41:00,1.43,TRVN I cant believe how cheap this is right now what a deal
Talleyville0311,True,2019-02-25 10:41:00,1.43,TRVN
StitesTMTN,True,2019-02-25 10:39:00,1.43,TRVN got partial filled at 142
teaman60,,2019-02-25 10:36:00,1.432,TRVN Something is up and its not good All the Reg posters here are gone
Sensorship_Sucks,True,2019-02-25 10:26:00,1.455,TRVN filled now go back up
UDel30,,2019-02-25 10:24:00,1.459,TRVN eat em up on the dip
bullmadness,True,2019-02-25 10:24:00,1.459,TRVN this stock is getting trashed on the yahoo finance chat clearly those people didnt watch the adcom review This will get approved
GalTrader,True,2019-02-25 10:22:00,1.457,TRVN Ceo Maxine Gowen recently added 51000 shares She already owns 378400 shares Follow the money
teaman60,,2019-02-25 10:17:00,1.477,TRVN Now u can see that when this isnt Pumped how bad the vol is
867five309,True,2019-02-25 10:17:00,1.477,TRVN the future is so bright got to wear shades
ECHK,,2019-02-25 10:11:00,1.474,TRVN xbi rocketing and this flat see if it plays catch up They jumped XBI right over resistance
Sensorship_Sucks,True,2019-02-25 10:06:00,1.473,TRVN looking for a fill at 145
Angry_Badger,True,2019-02-25 10:02:00,1.489,TRVN bought 7k more
nelsonei3,True,2019-02-25 09:54:00,1.5,TRVN This should retest 162 daily resistance yeah
GalTrader,True,2019-02-25 09:46:00,1.505,TRVN This is a shortage of morphine in hospitals TRVN will be approved
Mr_Krabz,,2019-02-25 09:43:00,1.525,TRVN were at 152 on Robinhood
Jv007,True,2019-02-25 09:41:00,1.523,TRVN Can we see 2 this week I think its a YES
nelsonei3,True,2019-02-25 09:40:00,1.519,TTNP TRVN IS jumping if your not sure about this one
rarogers,True,2019-02-25 09:38:00,1.488,TRVN lets see some movement upwards on no news
Duty780,True,2019-02-25 09:37:00,1.49,TRVN congrats to those of you with cojones and s TRVN
GalTrader,True,2019-02-25 09:36:00,1.489,TRVN Remember this was over 3 last year with anticipation of Adcom With resubmission news will go back there again
