ngyojiw,,2019-02-27 15:58:00,80.641,MRK nizee
Moose16,True,2019-02-27 15:36:00,80.839,MRK New highs again today Ill take it
DividendBot,,2019-02-27 14:16:00,80.92,MRK bulls have 4 reasons on 0227 to pay more attention dividendbotcomsMRK
EstimizeAlerts,,2019-02-27 12:24:00,80.987,Heres what 10 Estimize analysts believe MRK will report for Q1 2019 revenue Reporting 0430 BMOestimizecomintromrkchar
VolumeBot,,2019-02-27 11:51:00,80.866,Short volume percent for MRK was 3132 on 022619 volumebotcomsMRK
Moose16,True,2019-02-27 11:14:00,80.811,MRK strong On its way to 84 in the future
w0nd3rsquir3ll,True,2019-02-27 10:10:00,80.932,MRK just imagine if SPY had some strength today
sleekoptions_daytrade,True,2019-02-27 10:09:00,80.962,Update5 MRK Mar01 81 Calls Up 38 since alerted on Feb 26
EquityFeedAlerts,,2019-02-27 10:08:00,80.96,BLOCK TRADE MRK 501500 shares 8100 100659
Simewin1,True,2019-02-27 09:38:00,80.899,IBIO MRK SNY This is not the USA we can help amazing that a family member of anyone of us could be slammed with a illness SAVELIFES
