Spectracular,,2019-03-25 13:50:00,2.73,BOXL filling up those who got brains will keep this no mather whatthis will so soon pop the cheerie ER coming up will be thebestever
Spectracular,,2019-03-25 13:43:00,2.784,BOXL bought in some more at 280 bargain
SteelcityTrader44,,2019-03-25 13:39:00,2.781,BOXL Been watching this all day Seems like someone is slowly accumulating
iamrj127,,2019-03-25 13:01:00,2.744,BOXL why lord just why
Richdad12,True,2019-03-25 12:42:00,2.764,BOXL
matmasr,,2019-03-25 12:07:00,2.776,Until BOXL breaks 200 DMA and holds it is bearish
iamrj127,,2019-03-25 12:04:00,2.775,BOXL we could be bought out by Google and this shit would still dump So frustrated because it is a great company
risenhoover,,2019-03-25 11:52:00,2.8,BOXL Boxlight files form 8K httpsfinteliosusboxl
Last10K,,2019-03-25 11:44:00,2.814,BOXL just filed a New Agreement a Regulated Disclosure and a Financial Exhibit last10kcomsecfilingsboxl
matmasr,,2019-03-25 11:42:00,2.814,BOXL being BOXL today spike and die
quickcashcat,,2019-03-25 11:35:00,2.836,BOXL
snow6,True,2019-03-25 11:19:00,2.813,BOXL Very bullish for those confused and always with PATIENCE involved if you like money
soyelmarce,True,2019-03-25 11:03:00,2.88,BOXL holding for EA this week
inapick,True,2019-03-25 10:26:00,2.881,BOXL sp does not reflect on trades made so far today being held down
carlmaq,True,2019-03-25 10:20:00,2.861,BOXL YVR Plays today
iamrj127,,2019-03-25 10:16:00,2.862,BOXL almost a million shares of volume mostly to the down side Fucking ridiculous
Roza11,,2019-03-25 10:13:00,2.848,BOXL allout not holding up
ACInvestorBlog,True,2019-03-25 10:10:00,2.806,BOXL added on pullback Great news chart
Pinpoint45,,2019-03-25 10:09:00,2.817,BOXL shitty ass looking chart
iamrj127,,2019-03-25 10:07:00,2.845,BOXL UGH this stock SUCKS ASS
baba200,,2019-03-25 10:06:00,2.81,BOXL stops got flushed wow
Cowboyhat,,2019-03-25 10:06:00,2.81,BOXL stopped out That was fast
auroch,False,2019-03-25 10:06:00,2.81,BOXL haha
Pinpoint45,,2019-03-25 10:04:00,2.92,BOXL somebody flip the volatile switch back up
Cowboyhat,True,2019-03-25 10:03:00,2.976,Added BOXL here at the VWAP
iamrj127,,2019-03-25 10:02:00,2.97,BOXL volume left the building
AYANA,True,2019-03-25 10:02:00,2.97,BOXL
FonsieTrader,True,2019-03-25 10:01:00,2.992,BOXL could squeeze
dinotrader,True,2019-03-25 10:01:00,2.992,BOXL solid news and nice daily
ACInvestorBlog,True,2019-03-25 09:59:00,2.913,BOXL Boxlight Receives 4 Million Investment from The Lind Partners investorsboxlightcomfile
jimd667,True,2019-03-25 09:58:00,2.892,BOXL Just when I thought I was done with this turd it reels me back in 1000 shares at 303 lets see what happens
baba200,,2019-03-25 09:53:00,2.937,BOXL pretty good news will see if it plays out later int he day chat is not pretty
SwingTradah,True,2019-03-25 09:53:00,2.937,BOXL im a buyer at 28
auroch,True,2019-03-25 09:53:00,2.937,BOXL wont this 4M dollar investment mean the ER will probably be positive
Roza11,True,2019-03-25 09:53:00,2.937,BOXL still holding from 309 this can go up really fast with a bit more volume They came out with good news 10 minutes ago
BMP8,True,2019-03-25 09:49:00,2.9,BOXL great entry IMO
Arigoldkilloyd,True,2019-03-25 09:49:00,2.9,BOXL long 302
quickcashcat,True,2019-03-25 09:48:00,2.928,BOXL well today is the day
Jack_Reaker,True,2019-03-25 09:48:00,2.928,BOXL watch
FatSonny,,2019-03-25 09:48:00,2.928,BOXL There should be some comeback here Long 296
Arnette110,,2019-03-25 09:47:00,2.944,BOXL sigh
sejin80,,2019-03-25 09:46:00,3.03,BOXL long 300
livetraderalerts,,2019-03-25 09:45:00,3.046,BOXL 60m ago Boxlight Receives 4 Million Investment from The Lind Partners businesswirecomnewshome
fla,,2019-03-25 09:45:00,3.046,BOXL filed press release on March 25 104000 Boxlight Receives 4 Million Investment from The Lind Partners businesswirecomnewshome
iamrj127,,2019-03-25 09:44:00,3.074,BOXL Good news spike and Die Never fails
SwingTradah,,2019-03-25 09:43:00,3.018,BOXL in 283 friday somehow i was able to sell order at 34 lmao
iamrj127,,2019-03-25 09:43:00,3.018,BOXL what do we have against letting this stock run FxxK
Roza11,True,2019-03-25 09:43:00,3.018,BOXL in 309
akaMePs,,2019-03-25 09:42:00,3.12,BOXL huge spike
iamrj127,,2019-03-25 09:42:00,3.12,BOXL come on damnt dont lose the MOMO keep going
teamgreen,,2019-03-25 09:41:00,3.107,BOXL lookout
ProsperousNick,True,2019-03-25 09:41:00,3.107,BOXL receives 4M investment
TheTradeXchange,,2019-03-25 09:40:00,3.055,BOXL Boxlight Receives 4 Million Investment from The Lind Partners
gochip,,2019-03-25 09:40:00,3.055,BOXL
BMP8,True,2019-03-25 09:40:00,3.055,BOXL finally above 3 again like I predicted with mews
soyelmarce,,2019-03-25 09:40:00,3.055,BOXL i dont know if EA will be good or bad anyone know it
iamrj127,,2019-03-25 09:34:00,2.758,BOXL Hmmmmm usually this runs before ER Anyone know whats up
