MarketRealist,,2019-03-25 15:40:00,201.56,How Amazon and Alibaba Are Facing Competition AMZN BABA EBAY GRPN SHOP httpsmarketrealistcom201903arebezosrumorsstartingtoaffectamazon
ieatcat,True,2019-03-25 15:17:00,202.554,SHOP bears and option players lost lots of money in this stock
kremun,,2019-03-25 15:15:00,202.622,SHOP Shop is on fire nobody is selling this probably controlled by few institution not worth trading up or down anymore unpredictable
intuitiveinvestor,,2019-03-25 15:15:00,202.622,SHOP This bear rug looks cool
Bsmit,False,2019-03-25 14:27:00,201.388,SHOP should be at 180 by now
SmilingTiger,,2019-03-25 14:19:00,201.178,SHOP how the H is this thing holding on
Sirenkiller,,2019-03-25 13:26:00,201.03,SHOP This stock has the best bull algo i have ever seen
irish8377,,2019-03-25 13:17:00,201.391,SHOP Remember when I sold this at 82 I am not smart Congrats to all that held
ChicagoMan,,2019-03-25 13:12:00,201.24,SHOP shop news last week IMOMail chimp not worriedInstagram ecom short term set backWeebly Sqaure growing long term challenge
pc93,,2019-03-25 13:05:00,200.915,SHOP oh no ultra drop here today Werent the bears saying it was going to be a super red day Gosh are they ever right
emolina9,False,2019-03-25 12:50:00,201.053,SHOP 1 year chart
ieatcat,True,2019-03-25 12:29:00,201.54,SHOP SQ get ready to undo what happened Friday
VolumeBot,,2019-03-25 12:29:00,201.54,Aggregate short volume reported to FINRA for SHOP was 310633 on 032219 volumebotcomsSHOP
opt_guru101,False,2019-03-25 12:15:00,201.42,SHOP short this to 170 mark this post
pjsla,True,2019-03-25 12:03:00,200.37,SHOP newswirecanewsreleasesa
ChicagoMan,,2019-03-25 11:37:00,201.87,SHOP so solid above 200 its almost like a secondary offering is coming
cybercash28,,2019-03-25 11:25:00,202.317,AMZN green SHOP up 3 Talented daughter up 2 ALL way oversold XRT
ChartMill,,2019-03-25 11:14:00,201.37,Bull flags detected by our stock screener in SHOP SBGI and NG chartmillcomstockscreener
PajamaTrader,True,2019-03-25 11:10:00,201.23,PYPL ETSY LULU SHOP TWLO the momentum stocks refuse to go lower SPY QQQ
ivanhoff,,2019-03-25 11:01:00,201.655,Many momentum stocks are showing relative strength today but SPY needs to go above 28150 for the uptrend to resume SHOP TEAM TWLO
EstimizeAlerts,,2019-03-25 10:54:00,201.87,SHOP estimates distribution heres what 31 Estimize analysts are expecting SHOP to report for Q1 Reporting 0430 BMOestimizecomintroshopcha
EstimizeAlerts,,2019-03-25 10:54:00,201.87,Heres what 3 Estimize analysts believe SHOP will report for Q1 MRR on 0430 BMOestimizecomintroshopcha
kremun,,2019-03-25 10:51:00,201.581,SHOP if u r looking only this stock u would think the market is up a lot index inclusion really powerfull
OphirGottlieb,True,2019-03-25 10:50:00,201.317,ROKU and SHOP slowly showing more strength right now
kremun,,2019-03-25 10:49:00,200.985,SHOP my fave overpriced stock still holding strong
wildbill85,True,2019-03-25 10:48:00,200.431,SHOP Holding consolidating
moneywide,False,2019-03-25 10:29:00,199.255,SHOP needs to go down Up too fast
KlNGPlN,True,2019-03-25 10:10:00,199.13,SHOP The trend line is too strong 210 target by end of week
opt_guru101,False,2019-03-25 10:01:00,199.64,SHOP 170
Launcher,,2019-03-25 09:41:00,200.62,SHOP will go up higher I guess Cant wait for 215 to buy more puts again
CanadianSalmonGal,True,2019-03-25 09:40:00,200.317,SHOP
wildbill85,True,2019-03-25 09:39:00,200.136,SHOP It looks like the epic battle of bull vs bear rages on at and around 200 GL this week everyone
