makemoneyevery,,2019-03-26 15:59:00,2.945,CHEK I dont understand about this stock This is too much
bogtrading,,2019-03-26 15:31:00,2.97,Closed some positions this weekCHEK 266324SAEX 385405 RHE 117130
stocksmaster,,2019-03-26 14:45:00,2.999,CHEK Entry point around 28 needs to consolidate
MrPopeye,,2019-03-26 14:38:00,3.01,CHEK Deja vu back to 2
eayd,True,2019-03-26 14:02:00,3.122,Egor and Barna capital owns 145 of CHEK Solid
eayd,True,2019-03-26 13:50:00,3.158,CHEK funny that people dont know what they sell Look at the peers their valuation then you will understand Increased my position Thx
_Aloha_,,2019-03-26 13:24:00,3.16,CHEK Snap shot of flow
NJDevilsinseven,,2019-03-26 12:10:00,3.07,CHEK I knew I JINXED us as soon as I made my last postOops Looks controlled we are still moving the pile North
ap100,,2019-03-26 10:44:00,3.094,CHEK as expectedshould consolidate between 295 and 325 for a few days pending overall market conditions then a nice break of 330
stocksmaster,,2019-03-26 10:18:00,3.08,CHEK I believe she needs to consolidate but looks like a breakout for longer term what do you think can be the next entry point
NJDevilsinseven,,2019-03-26 09:45:00,3.21,CHEK I like how we rarely dip below the previous days closeanother Green Day for the CHEK crew onward and upward
