Market_Sharks,,2019-03-26 15:49:00,24.17,UNG UGAZ DGAZ Natural Gas Futures Fall But Potential Points To The Upside Longer Term UNG seekingalphacomarticle42
Primssoko,,2019-03-26 13:53:00,24.24,DGAZ what is going to happen to UNG in summer If the weather is hot long UGAZ If not long DGAZ
BluegoldResearch,,2019-03-26 13:16:00,24.271,UNG and UNL vs natgas httpsbluegoldresearchcometfsusa
Good2go,,2019-03-26 12:59:00,24.28,UNG UGAZ BOIL KOLD DGAZ Remember when should season Spring would shift to BUILDS on wkly report Bulls banking on continued DRAWS
B_Mcpherson04,,2019-03-26 12:55:00,24.26,DGAZ I see ng hitting mid260s next Monday UGAZ UNG too mild and production is too high However long term is bullish for ng till June
Last10K,,2019-03-26 12:23:00,24.27,UNG just filed a Regulated Disclosure and a Financial Exhibit last10kcomsecfilingsung
risenhoover,,2019-03-26 12:22:00,24.27,UNG United States Natural Gas Fund files form 8K httpsfinteliosusung
livetraderalerts,,2019-03-26 12:15:00,24.25,UNG 12m ago SEC 8K Current events report Regulation FD Disclosure Financial Statements and Exhibits secgovArchivesedgardata
fla,,2019-03-26 12:15:00,24.25,UNG filed form 8K on March 26 121437 Item901 Financial Statements and Exhibits secgovArchivesedgardata
AV8,,2019-03-26 11:06:00,24.28,UNG UGAZ DGAZ Havent been following her much becuase WTI is where the strength is but NG looks like a hot mess as usual
WxMan,,2019-03-26 11:03:00,24.283,UGAZ ECMWF Weeklies through the end of April DGAZ UNG NGF
