mrz687,,2019-03-27 15:18:00,0.9762,CREG shameful is going down
chiorox,True,2019-03-27 13:40:00,0.9683,CREG This one is fixing to turn green Watch it
Dman20200,True,2019-03-27 13:03:00,0.9609,China bouncing I am PLAG TMSR CCCL CCIH CREG CPHI CADC RENN BIMI holding STUDY the float it is tiny
theNEWguy714,True,2019-03-27 12:24:00,0.9696,CREG Damn theres a monster bid right now 34600 shares
SeedF,,2019-03-27 11:41:00,0.96,CREG keep cash will get worst market downward just start big correction on the way shop for bestfuturistic company with good price
mrz687,True,2019-03-27 10:28:00,0.9744,CREG AQMS IMMP all Wally green except these shares Shameful Dead shares are betterwhat a pity
chiorox,True,2019-03-27 10:23:00,0.9744,CREG Adding here
themaninthetinyhat,True,2019-03-27 10:20:00,0.98,CREG Hi there buyers
TRNXwillRecover,True,2019-03-27 10:09:00,0.9799,TRNX CHFS BPTH TROV CEI SEEL OGEN DCIX INPX CREG DCIX TOPS MNGA Institutions increase stake in TRNX financeyahoocomquoteTRN
mrz687,True,2019-03-27 10:00:00,0.9606,CREG no volumes we must go over 1
