DaveFarber,True,2019-03-27 15:45:00,123.655,Junior Gold Miners bottoming already on the hourlyGDXJ GDX GLD HUI
PaulEbeling,,2019-03-27 15:38:00,123.645,Key CommoditiesWTI Crude Oil 09 to 5942 bbl USOGold 03 to 131625 oz GLDCopper Unch at 286 lb CU
Nomadic_Indian,False,2019-03-27 15:26:00,123.6,GLD GDX JNUG lol the dip trapping in more bagholders rug pull to below 1300 by Friday
TalkMarkets,,2019-03-27 15:22:00,123.58,Precious Metals Report Wednesday March 27 GLD GDX SLV JJCTF PPLT PALL UUP talkmarketscomcontentus
Efeezy,,2019-03-27 15:13:00,123.655,GLD UGLD Either a faceripping rally to ensue or ugly death March has been channel bound for gold Looking for another entry JNUG NUGT
sleekOptions,True,2019-03-27 14:56:00,123.69,Peak gain the last 3 expired setups GLD 10000 12581 1475 24138
TalkMarkets,,2019-03-27 14:33:00,123.799,Gold Prices Risk Larger Pullback As Fed Defends WaitAndSee Approach GLD XAU talkmarketscomcontentus
panamaorange,,2019-03-27 14:08:00,123.673,GLD SLV Gold has 3yrs of bull ascending triangle support around 1250s Even if we go No bid in silverbounce there will drag it uptoo
Dr_Stoxx,,2019-03-27 14:07:00,123.645,DUST Might be time to lighten on GLD GDX NUGT Just a thought
CatTracks,True,2019-03-27 13:44:00,123.72,GLD Amazing bond yields falling off a cliff and gold just sits there All Ive got is time though
RockDoctor,,2019-03-27 13:37:00,123.779,GLD testing same level again for the 4th time todaythis is torture
davidjb5974,True,2019-03-27 13:23:00,123.879,GLD Gold GLD
alistair_chart,,2019-03-27 13:15:00,123.891,Intermarket Analysis Page 69 Gold as a leading indicator for the CRB Index Interesting chart CRB Led in 2011 however GCF GLD
KobesyTrades,,2019-03-27 12:56:00,123.92,𝗨𝗽𝗱𝗮𝘁𝗲 SPY 30m Nice turn BUT need 278 to break definitively ESF SPX VIX NDX QQQ IWM RUT DJIA DJT TLT TNX DXY GLD
BearMarket2020,,2019-03-27 12:51:00,123.85,DJIA AAPL NFLX GOOGL GOOG SPY SPX NKE AMZN FB WMT GLD BA T TWTR DIS JPM SBUX MSFT V F 1 SHARE 10 LIVES SAVED
TradingGods,,2019-03-27 12:42:00,123.8,UUP GLD VXX Trade Deficit For January Better Than Forecast tradinggodsnettradinggod
seeitmarket,,2019-03-27 12:38:00,123.79,NEW Stock Market Today Investor Sentiment Fades to Neutral seeitmarketcomstockmarke by DanRussoCMT SPY IWM XLE XLK GLD VIX
RobindesBois,,2019-03-27 12:30:00,123.752,GLD SLV going to go up UUP down SPY down
DaveFarber,,2019-03-27 12:30:00,123.752,ST Correction Confirmed Use these opportunitiesGDXJ GDX GLD HUI SIL SILJ GDM
Canadianinsider,,2019-03-27 12:25:00,123.732,Trump nominee Moore has a point Focus on commodity prices GLD FCX GOLD GDX MACRO FED USO XOP canadianinsidercomblogtr
KimbleCharting,,2019-03-27 11:58:00,123.888,GDXJGDX ratio hits lowest level of 2019 today Not what miners bulls want to see GDX GDXJ GLD SLV EURUSD DXY
Stocks_All_Day,,2019-03-27 11:51:00,123.99,If SPY SPX QQQ IWM cant recover by EOD then I think VIX TVIX UVXY will be in play Also GLD GDX GDXJ
Wavepatterntraders,,2019-03-27 11:44:00,123.96,I would always be cautious when SILVER fails to follow GOLD most times its a warning of a move lower looming SLV GLD GDX
NFTRH,,2019-03-27 11:42:00,123.98,A Look at the GLDSPY Ratio nftrhcom20190327alook SPY SPX GLD GDX GDXJ SLV DIA QQQ
ETFDailyNews,,2019-03-27 11:28:00,123.979,GLD Gold prices fall due to a stronger US dollar etfdailynewscom20190327
jflemming2,True,2019-03-27 11:14:00,123.79,GLD the more they devalue currencies around the globe the more gold will be worth in the future Sit tight wait and see
