Messi_Trader,,2019-05-30 15:54:00,2.286,HCLP ouchy
crooner72,,2019-05-30 15:43:00,2.328,HCLP 12 the normal volume only foolish or weak selling 4 days to ccorp
younginvestor7,True,2019-05-30 15:25:00,2.324,HCLP cant believe this is at 232 today didnt think I would be able to buy this low again to average down taking advantage Average cost is now 533 down from 1190 from last year hopefully I can break even sometime later this year
PittsburghTrader,True,2019-05-30 12:13:00,2.382,HCLP b interesting to see how trades Mon when CCorp conversion done mb HCR starts a div soon
crooner72,,2019-05-30 11:55:00,2.38,HCLP so I buy 20k more
danieltanner,,2019-05-30 11:46:00,2.365,HCLP team Do you believe me now I am long the stock but a realist No bottom in sight Look for 1 handle Low 1s before you buy anymore All head fakes the up days
whatcanido,,2019-05-30 11:39:00,2.357,HCLP bought 1k more I like being fvcked
crooner72,,2019-05-30 11:06:00,2.361,HCLP low volume nothing to read into
Diligence_Fund,True,2019-05-30 10:59:00,2.391,HCLP Weak hands on calls Bet MM is salivating
jimidean,,2019-05-30 10:39:00,2.453,HCLP i do not think EMES will survive in recapitalized structure mines will be closed or sold in my opinion
danieltanner,,2019-05-30 09:52:00,2.463,HCLP team trust me on this one 23 year story Be patient here
Diligence_Fund,True,2019-05-30 09:47:00,2.494,HCLP I see you MM You always like to dump in the morning and buy through close Been this way for months now
Diligence_Fund,True,2019-05-30 09:37:00,2.531,HCLP Calls are getting sweeped Could be a big move up
