All_Time_High,True,2019-05-30 15:52:00,0.172,HSGX look Meffer all I ask of u is one more day of loading the pickup truck Please
amerloc,,2019-05-30 15:43:00,0.1706,HSGX just bought 500 more for the fun
Sforceten,,2019-05-30 15:24:00,0.1706,HSGX so I know many people are planning on selling after s4 and just prior to the reverse split and merger Do yall think thats going to drop the price again
vnjmoreno,True,2019-05-30 15:04:00,0.1703,HSGX that 1690 was awesome Loaded at 17
BeenthereB4,True,2019-05-30 14:57:00,0.1702,HSGX this is holding its ground better than most Weak hands are gone or realized its a BUY The merger will bring the money Its a matter of months not years And a matter of weeks for filing which will give it its first REAL run Then we see a new set of weak ones But either way you will be rewarded
amerloc,,2019-05-30 14:54:00,0.1719,HSGX Dumpers
GoBillsGo,,2019-05-30 14:43:00,0.1726,HSGX Cant break 0173 but has support at 0170
Kaies,,2019-05-30 14:38:00,0.173,HSGX they want it around 17s
Jansson17,True,2019-05-30 14:22:00,0.17,HEB HSGX YRIV IMUX Wonder if Ill every see these go up Been like this for a long time
amerloc,,2019-05-30 14:13:00,0.1721,HSGX DOGE Crypto is on the move I have been DT 500 of this crypto making 1040 daily gains
ChartMill,,2019-05-30 14:13:00,0.1721,HSGX is expected to show a strong growth in EPS In the coming 2 years the EPS will grow by 6046 yearly chartmillcomanalyzephpu
OmegaMars,,2019-05-30 13:52:00,0.1732,HSGX im a newbie on this I habe done my research as best as possible I know of the merger I have seen it will be a 10 to 1 as well as a stock for stock my question is should i stay long been holding a few months little over 6k shares or should i sell pre merger any advice and help is greatly appreciated
Howmanypenniestillambos,,2019-05-30 13:47:00,0.1733,HSGX Ive been working alot so i havent had a chance to do DD on this one What is going on Thanks
UnknownPinoy,,2019-05-30 13:47:00,0.1733,HSGX im in at 6k shares at 185 it would be nice if this hit 50 by june
UnknownPinoy,,2019-05-30 13:46:00,0.1733,HSGX what everyone pt
Metalmike1,,2019-05-30 13:46:00,0.1733,HSGX I like money
GoBillsGo,,2019-05-30 13:43:00,0.1733,HSGX
Kaies,,2019-05-30 12:48:00,0.1729,HSGX money is getting slowly in hsgx guys market cap going up slowly
rm9stockwit,,2019-05-30 12:40:00,0.1729,HSGX So let me get this straight most of us me included plans to short the stock In other words we have no one that will go long
unionfastcash,True,2019-05-30 12:39:00,0.1729,HSGX i can see this easily reachine up over 50
MrPigg,,2019-05-30 12:39:00,0.1729,HSGX Guys The stock market is getting a bit turbulent becouse of uschina problems recentlyI am going to wait some more weeks to see a clear stability at stock market before buying
guiderman,True,2019-05-30 12:38:00,0.1729,HSGX I looks goodWill see next week
PEwing619,,2019-05-30 12:35:00,0.1729,HSGX cant wait to cash out
P82,True,2019-05-30 12:15:00,0.173,HSGX
Kaies,,2019-05-30 12:15:00,0.173,HSGX this month i like how stable it is after the big gap up begin this month looks positive
EugeneCrabs,,2019-05-30 12:13:00,0.1728,HSGX I can almost smell it Hopefully all this waiting will pay off soon
