InvestorsObserver,,2019-05-30 15:39:00,2.941,Marathon Patent Group MARA Stock Jumps 74 How Does it Scoreinvestorsobservercommarke
BK1989,,2019-05-30 15:03:00,2.886,MARA coin down Mara down coin up Mara down wtf
Vikc3300,False,2019-05-30 14:37:00,2.857,BTCX falling down and MARA following suit
dipbuy,True,2019-05-30 13:59:00,2.97,MARA that bid is something
Darthazn815,True,2019-05-30 13:49:00,2.954,MARA Adding more when it hits 28 or below again
TopStriker,True,2019-05-30 13:46:00,2.95,MARA Im not selling until bitcoin hits 10k
BEG007,,2019-05-30 13:43:00,2.952,MARA anyone holding this overnight
CGMoney,True,2019-05-30 12:47:00,2.99,MARA Im out as BTC is leveling back out will catch again around 280 Trade smart
dipbuy,True,2019-05-30 12:27:00,3.049,MARA hope we wont be seeing 2s any soon
oldirtydennis,,2019-05-30 12:26:00,3.039,MARA weeee
Darthazn815,,2019-05-30 12:17:00,2.981,MARA I guess yesterdays huge inflow with no outflow was todays spike
BK1989,,2019-05-30 12:15:00,2.99,MARA appreciated someone did the cpr for her Now we need the strong electric shot Clear paddle ready
fidycent,,2019-05-30 12:13:00,3.006,MARA from 8k to 9k BTCX goes and MARA doeswhat
JoeAlerts,True,2019-05-30 12:12:00,2.999,MARA Looking good here if it breaks 305 310 zone will be on a major watch as BTC is moving higher
depressedmeatsuit,,2019-05-30 12:12:00,2.999,MARA Jesus Ive been watching this one the past two days and did not see this coming
oldirtydennis,,2019-05-30 12:11:00,2.993,MARA very nice
Darthazn815,,2019-05-30 12:10:00,3.029,MARA I hope we can break the 13 am highbarchartcomstocksquotes
swing2910,True,2019-05-30 12:05:00,2.943,RIOT MARA BTCX breaking 9kbouncing
Darthazn815,True,2019-05-30 12:04:00,2.942,MARA Finally we have vol
Niro88,True,2019-05-30 12:04:00,2.942,MARA I want to see that SHORT SQUEEZE Boom
dipbuy,True,2019-05-30 12:04:00,2.942,MARA I am watching the tape The pullback was just low volume How easily this is going up just with 1k2k prints
Trade4Keeps,,2019-05-30 12:03:00,2.931,BTCX at 9k get some btc related stocks SWRM NDYN MARA RIOT not sure about DPW
NDvestor,True,2019-05-30 12:03:00,2.931,MARA volume incoming
dipbuy,True,2019-05-30 12:00:00,2.854,BTCX MARA RIOT NDYN INTV GBTC make Vegeta memes great again Lets go
Arlan1,,2019-05-30 11:58:00,2.852,MARA bitcoin is rising this one is falling why
dipbuy,True,2019-05-30 11:57:00,2.849,MARA nice volume flow with BTCX trying to breakout MARA is going to 20 this year
Darthazn815,,2019-05-30 11:51:00,2.76,MARA you mean thisbarchartcomstocksquotes
PhillyGreek77,True,2019-05-30 11:48:00,2.76,MARA I was looking for the next ER and came this across this
CGMoney,True,2019-05-30 11:45:00,2.773,MARA BTC is rocketing now we should catch some love from it
Darthazn815,,2019-05-30 11:30:00,2.766,MARA Heading down to 25 imo
IndianTech,,2019-05-30 11:20:00,2.76,MARA micro crypto miner NDYN running Profitable transparent and huge upside
studatnu2002,,2019-05-30 11:19:00,2.76,MARA pile of garbage you want bitcoin buy BTCX or GBTC keep it simple
Economist4401,True,2019-05-30 11:16:00,2.76,BTCX RIOT MARA stocktwitscomEconomist440
NDvestor,,2019-05-30 10:59:00,2.76,MARA this uncertain market it really hindering progression in this stock Tough to watch
IndianTech,True,2019-05-30 10:57:00,2.772,MARA switch over to profitable crypto miner NDYN management posts daily profit updates on Twitter Just picked up 90000 shares yesterday
BK1989,,2019-05-30 10:27:00,2.762,MARA somebody give it a cpr
Stockbuyout,False,2019-05-30 10:13:00,2.78,RIOT MARA why do people invest in the cryto stock when they can actually buy the dam crytoget yourselves some Bitcoin
VisionCorp,,2019-05-30 10:13:00,2.78,2295M Volume on a 011 Stock eheh BlockChain RIOT MARA OSTK HIVEVN
ICUCweallCBD,,2019-05-30 09:30:00,2.843,BTCX MARA RIOT GBTC more solid INTV news purchased 40 new miners and purchasing additional miners biweekly WITH CASH FLOW
