kle12,,2019-05-30 15:51:00,139.039,NVDA Are people still waiting for this to hit the 200sma on the weekly or waiting for even lower
highroller96,True,2019-05-30 15:50:00,139.052,NVDA the bullshit how they bring down a company like this We will prevail
blagoje_lukic,True,2019-05-30 15:47:00,139.198,BABA WB IQ NVDA Deal is Coming
Stocknews18,,2019-05-30 15:45:00,139.051,NVDA dont want close below 140 otherwise more downside
Ryalavar,,2019-05-30 15:40:00,139.132,NVDA bought at170 any inputs plz
Abcd034,,2019-05-30 15:37:00,139.246,NVDA boy imagine if there was a recession coming up youd get to buy this at 50 at this rate selling everyday
tradesuperstocks,True,2019-05-30 15:36:00,139.162,NVDA just follow me folks I Am the real deal I am free too No charge
Stocknews18,,2019-05-30 15:35:00,139.212,NVDA CLOSE ABOVE 140
umandev,,2019-05-30 15:35:00,139.212,NVDA will hit 128130 before it switch gears upside
4ProfitS,True,2019-05-30 15:34:00,138.993,NVDA im watching you
tradesuperstocks,True,2019-05-30 15:33:00,138.982,NVDA done
MVG_Charting,,2019-05-30 15:33:00,138.982,AMD NVDA is oversold on the daily at 21RSI if that could possible bounce id take tech up as well Its been getting obliterated for too long
WallStreetWhisperer,,2019-05-30 15:31:00,138.719,NVDA Cramer Twitting building a stake in NVDA GL long
tradesuperstocks,True,2019-05-30 15:30:00,138.755,NVDA reversal time Lets go to 140
MrTraveler,False,2019-05-30 15:29:00,138.83,NVDA MASSIVE UPSIDE DAILY V CHART Wow
John1513,True,2019-05-30 15:26:00,138.461,NVDA Dont let these fool Bears fool you Hold and add Sale over soon
Stocknews18,,2019-05-30 15:20:00,138.354,NVDA closing below 140 not good at all more dump tomorrow
StraightUpForever,,2019-05-30 15:15:00,138.14,NVDA Ive seen this exact action two times before in my trading life One was Nortel The other was Enron
corruptwallstreet,,2019-05-30 15:12:00,138.177,NVDA all new posters 180 guys got whipped up
Lvrgd2Hlt,,2019-05-30 15:10:00,138.115,AMD guys hedge any market downturn with safe NVDA puts like Im doing
Stocknews18,,2019-05-30 15:09:00,138.063,NVDA BABA AAPL IF SPX lose the ground at 2775 then market will not recover and more likely recession so watching 2775 for now
ash104,False,2019-05-30 15:09:00,138.063,NVDA
SmallShare,,2019-05-30 15:07:00,137.99,NVDA not to far from dec lowsno demand for this stock since april youtubecomwatchvSkTp96H
Stocknews18,,2019-05-30 15:06:00,138.194,NVDA BABA make this freaking Tariff DEAL otherwise worst to come
MarketJunkPlayone,,2019-05-30 15:05:00,138.036,NVDA 55 drop in a month and not even a bull trap just straight down reckless market Just watching for now
nflxman,,2019-05-30 15:04:00,138.06,NVDA Anybody who got in this stock since last month thinking they were buying the dip were actually buying the dump new buyers if you are thinking about buying dip now than please take my advise and dont this is another dump not dip Paid pumpers by NVDA gonna bash my post but I am writing again because I dont want it her people to loose their whole account like I did If you are short than stay short but dont buy the only reason management is able to dump is because pumpers keep luring new sheep to buy
MrMike,,2019-05-30 15:02:00,138.192,NVDA maybe its the new laptops
MrMike,True,2019-05-30 15:01:00,138.213,NVDA whatrecoverylol
Chavo32,,2019-05-30 15:01:00,138.213,NVDA wow Wants to go lower
freakk_,False,2019-05-30 14:57:00,138.27,NVDA been telling you guys for a good while now this could see double digits PT 90115
Jordan_Investments,True,2019-05-30 14:56:00,138.381,TEVA June pt for me 1214 NVDA 170175 MARK THIS POST
DeesBees,,2019-05-30 14:56:00,138.381,NVDA derp its going to 90 guys Derp
Pawnstar,,2019-05-30 14:55:00,138.295,NVDA June 21st 90p these are the puts you talk to your grandkids about if they work
GrowthMultiplier,,2019-05-30 14:55:00,138.295,NVDA 135120 Good luckI am long INTC
link2020,False,2019-05-30 14:55:00,138.295,NVDA 90 eoy
GrowthMultiplier,False,2019-05-30 14:55:00,138.295,NVDA 135 June puts are doing pretty well
JohnWTrader,,2019-05-30 14:52:00,138.078,NVDA will keep on adding frm here on
rkm3612,,2019-05-30 14:50:00,138.112,NVDA AMD is not doing much better today either
mountainbiker168,,2019-05-30 14:46:00,138.02,NVDA AMD is the chip champ no doubt about it
WOMG,,2019-05-30 14:45:00,137.85,NVDA guys why the drop please
mplawoffice,,2019-05-30 14:45:00,137.85,NVDA Chinese water torture in more ways than one
Trials233,,2019-05-30 14:43:00,137.88,NVDA my god my 165 entry isnt lookin so hot right now
Stocknews18,,2019-05-30 14:40:00,137.763,NVDA BABA 4 Months gain lost in 1 month
Bluesentry,,2019-05-30 14:38:00,137.774,NVDA Im a buyer under 100
Mesheia,,2019-05-30 14:38:00,137.774,NVDA if you bought at 190 levels rip
MrTraveler,False,2019-05-30 14:35:00,138.055,NVDA May 2nd 184 REALLY
WallStreetForecaster,True,2019-05-30 14:34:00,138.09,NVDA This cycle has a 9286 success rate on long trades The overextended indicator is bullish
