Value_Zombie812,True,2019-05-30 15:37:00,6.705,QD market playing bluffmoney on the floor no ones picking thinking theres a catch
tables777,,2019-05-30 14:10:00,6.675,QD A victim of concern about China economy and the trade war It is puzzling to say the least Ill retreat to the sidelines until we see some momentum upward
metrostock,,2019-05-30 14:08:00,6.685,QD probably to 6 for MM to gain shares for the next buying cycle to 700 to 750
gregnice69,True,2019-05-30 13:48:00,6.691,QD prob going to around 6
fredster45,True,2019-05-30 12:23:00,6.67,QD probably run this to 690s again tomorrow good buy under 665 imo
xosignalscom,,2019-05-30 11:51:00,6.623,QD We are on the way to a 710 percent rise in the short term xosignalscomentraders
eightfoldpath,,2019-05-30 11:41:00,6.675,QD also hate how it seems to settle on 666 do often
eightfoldpath,,2019-05-30 11:39:00,6.665,QD Fear is not a strategy Still this action is pathetic Holiday week
DERDAX82,,2019-05-30 11:36:00,6.655,QD Fair valuation seems to be a PE of 3 for this
EightTrackMind,,2019-05-30 11:33:00,6.62,QD GGGGGGAAAAAAAAAAHHHHHHHH I might not have the stomach for this one
responsecomp,False,2019-05-30 10:47:00,6.671,QD Glad I sold Losing gains on a green market day Trending to low 6s maybe even 5 MANIPULATED
Sakuraleo27,,2019-05-30 10:47:00,6.671,QD from 3 up to now in redthis POS
LizardkingNY,True,2019-05-30 10:06:00,6.955,QD we will be back at 705 before 11am
PM01,,2019-05-30 09:47:00,6.789,QD OK Its time to start the uptrend
