Bobes,,2019-05-30 15:58:00,2.845,SRNE come on you pos you dont have to be red everyday
xavier23,,2019-05-30 15:23:00,2.848,SRNE tomorrow will be up 15 cents lol Just to show us they we aint
Exemplarity,,2019-05-30 15:17:00,2.843,SRNE you guys shit on Henry too hard look what happens lol
inv1ncible,False,2019-05-30 15:09:00,2.835,SRNE buy under 2
JollyAcorn,True,2019-05-30 15:07:00,2.825,SRNE OK god help me but I just bought another K of shares for total of 11000 now at 442 avg pps All I have ever asked of this stock is that it go to 12 Can we get a little good news
xavier23,,2019-05-30 15:03:00,2.855,SRNE either its quiet in here or alot of people blocked me loli bet some of us still feel like punching bag from yesterdays actioni know i do
Quad_4,,2019-05-30 14:58:00,2.859,SRNE Its Quad Im just respecting the number 4 today Thats all Nothing else My chair has 4 legs
perlnacho,True,2019-05-30 14:12:00,2.84,SRNE
NON_FICTION_1,True,2019-05-30 14:02:00,2.89,SRNE this is the same pattern as before under 2 Fake blocks holding down while its being loaded then they let it go and went above 6 should go even higher on the next pop theyneverlisten
IcebergBot,,2019-05-30 13:14:00,2.875,05302019 Large Trade Blocks SRNE Largest Trade 406 of Volume icebergbotcomsSRNE
pastaboy16,,2019-05-30 12:53:00,2.905,SRNE An institution may have dumped and shorts tagged along thoughts
shortvolumes,,2019-05-30 12:19:00,2.91,The short sale volume not short interest for SRNE on 20190529 is 54 shortvolumescomtSRNE via shortvolumes
noblebull,True,2019-05-30 11:48:00,2.915,SRNE on watch for reversal
ChartMill,,2019-05-30 11:41:00,2.92,The technical rating of SRNE is bad and it also does not present a quality setup at the moment chartmillcomanalyzephpu
Mr52WeekLow,True,2019-05-30 11:03:00,2.91,SRNE While going through the 10Q provided on May 15th I saw as Im sure many others did that the total assets only went down by about 145M I believe that the majority of the cash burn can be found by looking at the Operating lease rightofuse assets which accounts for roughly 43M or 64 of the cash burn I think the reality is that the cash went into the Operating lease rightofuse assets I encourage anyone to comment about what I see
Walkoff,,2019-05-30 11:01:00,2.929,SRNE if you follow ClayTrader you will be called out shamed and then stalked all the way down Clubber Lane
swingydingy,,2019-05-30 10:38:00,2.93,SRNE bullish move here
Bobes,,2019-05-30 10:24:00,2.905,SRNE the warrants from ABG expiring worthless is good for us less dilution Just hope this doesnt turn them against us The selling pressure seems to be drying up Just hope we dont have round 2
evenmorehating,True,2019-05-30 10:10:00,2.885,SRNE get your shit together
NON_FICTION_1,True,2019-05-30 09:49:00,2.83,SRNE more now will continue shorts will fry here Zero reason for the drop
xavier23,,2019-05-30 09:39:00,2.897,SRNE i hope that order flow changes
xavier23,,2019-05-30 09:36:00,2.886,SRNE
NON_FICTION_1,True,2019-05-30 09:36:00,2.886,SRNE here come the bids this is ready to explode
xavier23,,2019-05-30 09:30:00,2.87,SRNE shorts have 5 days to cover
