ULTRAPREMOS,True,2019-06-03 15:56:00,8.38,HEAR
taejii,,2019-06-03 15:50:00,8.36,HEAR same old same old
ULTRAPREMOS,True,2019-06-03 14:16:00,8.591,HEAR
Stock_Psychic,True,2019-06-03 14:14:00,8.6,HEAR from fundamental valuation this is getting ridiculously cheap looks like its stock price is missing a digit in front of the 8xx
sunnyclean,True,2019-06-03 13:42:00,8.543,Well I had a 12 HEAR and a knock at my door settled with a nickle Gone to the city for the rest of today Thanks Yall have fun now
Stock_Psychic,True,2019-06-03 13:21:00,8.55,HEAR Can we get a power hour today Lets close this shixx strong trying to make bullish engulfing reversal pattern
TomGiannini,,2019-06-03 13:15:00,8.587,HEAR Dear Stockius the Greek god for stocks please grant us a bountiful harvest as we have had a hard year
taejii,,2019-06-03 12:51:00,8.43,HEAR
sunnyclean,,2019-06-03 12:45:00,8.434,HEAR 1k
levy42088,True,2019-06-03 12:36:00,8.44,MDR HEAR Lets so like Chris Brown and Run It
Cripes84,True,2019-06-03 12:26:00,8.47,APPS HEAR
thetrademan,,2019-06-03 12:09:00,8.526,For those interested in including some humor in their feeds check out the Finance Humor StockTwits Room for some free daily laughs It cant hurt after red days stocktwitscomrfinancehumor ETHX GOOGL CYBR HEAR TSLA
MoneyMikey,True,2019-06-03 11:20:00,8.57,HEAR
sunnyclean,True,2019-06-03 11:12:00,8.57,HEAR TY
vvanderhagen1,,2019-06-03 11:04:00,8.657,HEAR another uppy downy day Lol
phatso,,2019-06-03 11:02:00,8.687,HEAR Total addressable market 47 Billion with ROCCAT acquisition
sevenxs,,2019-06-03 10:36:00,8.612,financeyahoocomnewsturtHEAR
LongBacon,True,2019-06-03 09:43:00,8.347,HEAR all this day to day isnt worth stressing overthey are going to get bought someday Keep the faith my fellow turtles
taejii,,2019-06-03 09:42:00,8.37,HEAR another day another 52wk low
