tediwatchmarkets,,2019-06-04 14:39:00,6.525,ORGO iwatchmarketscom2019060
RobisonCD1,True,2019-06-04 13:20:00,6.38,ORGO I agree theres something brewing here More buy ratings reinstated for 12 PT
Hassan7,True,2019-06-04 13:14:00,6.42,ORGO Call me crazy but Im still bullish Theres no way this keeps on sinking theres something going on behind the scenes
Hassan7,True,2019-06-04 13:12:00,6.42,ORGO Nearing 52 wk low of 628
RobisonCD1,True,2019-06-04 13:06:00,6.41,ORGO Buy rating reinstated
RobisonCD1,True,2019-06-04 13:05:00,6.41,ORGO techknowbitscom20190603
thelefthand,,2019-06-04 13:01:00,6.41,ORGO If youre playing this based upon momentum this is the neighborhood to start scaling in buy orders to find the bottom
Hassan7,True,2019-06-04 12:55:00,6.41,ORGO Last time it tanked under 650 in FebMarch the next day it shot up to 1250 Lets hope the same scenario is occurring here
Tradebait88,,2019-06-04 12:50:00,6.45,ORGO cmon management do something
RobisonCD1,True,2019-06-04 12:33:00,6.537,ORGO Im just going to have to remain patient 12 PT is still there
thelefthand,,2019-06-04 12:03:00,6.569,ORGO Getting close to hitting my stop loss just above breakeven Eventually this will properly break everyones hearts for good and Ill be a buyer again
Almost,,2019-06-04 11:01:00,6.75,ORGO Im out
cheetohottaki,,2019-06-04 10:46:00,6.56,ORGO why wont this thing go green like the rest of the whole muther fockin market
IndigenaTigerKing,,2019-06-04 10:35:00,6.65,ORGO I actually appreciate how this stock moves its become predictable and Im not looking for big breakouts anymore Just a little here and there
cheetohottaki,,2019-06-04 10:06:00,6.684,ORGO same schit different day smfh
