tsburg,,2019-06-05 14:56:00,1.716,AQMS very low volume this is a methodical take down
Topolino,,2019-06-05 14:45:00,1.71,AQMS okay I agree but it comes down with a disarming ease its scary
flaco067,,2019-06-05 14:37:00,1.72,AQMS horrible
Sparky87,True,2019-06-05 14:34:00,1.724,AQMS For those who may be confused here I suggest rereading the CC transcript from three weeks ago I believe Cotton laid out a very reasonable and viable course of action for the remainder of this year I take great solace in the fact that Veolia is in the house and I do believe that they will achieve their objectives with regard to meeting the performance metrics for the Clarios deal and then further licensing A lot of upcoming catalyst and Cotton did say that we would receive updates Now would not be the time to sell IMO I believe a little more patience is warranted here as they work to synchronize plant ops with Veolia to support scaling to 16mods by EOY Personally Im holding my 377k shrs LT and could care less about daily volatility Im placing my bet on their success as Veolia wouldnt have signed on to a nonviable project IMOAqua Metals Inc AQMS CEO Steve Cotton on Q1 2019 Results Corporate Update Call Transcript AQMS seekingalphacomarticle42
Topolino,,2019-06-05 14:33:00,1.726,AQMS these are specialized thie ves
Topolino,,2019-06-05 14:32:00,1.726,AQMS The scoundrels are making it capitulate well to fill their stomach before the next pump
mrz687,,2019-06-05 14:10:00,1.76,AQMS tablet and pushed further and further down the oversold is important when will they decide that they have had too much
livelifeup,,2019-06-05 13:26:00,1.755,AQMS All those on Hopium should still consider getting out More dilution will come at lower prices Mgmt is pulling your leg just like 2017 Ive lost and won on many stocks but I post about AQMS just because of how bad their PR and execution has been Incredibly bad
mrz687,,2019-06-05 12:40:00,1.759,AQMS here we are 2018 minimal
YouKnowIt,,2019-06-05 12:37:00,1.757,AQMS OPCO is such an amazing shop with such supportive investors Note to self short every OPCO financing postdeal
mrz687,,2019-06-05 12:14:00,1.772,AQMS yesterday the whole sector has rebounded except for this kind of share today it continues to fall now it loses day after day without brakes
Rapidfinance,True,2019-06-05 11:59:00,1.77,AQMS Should bounce here back to 185
mrz687,,2019-06-05 11:05:00,1.77,AQMS 100 k exchanged and another 5 embarrassedly piloted
mrz687,,2019-06-05 10:37:00,1.79,AQMS oversold is important
