ProfitTaker2020,,2019-06-10 14:29:00,3.059,CHFS looking like
BuffoonPapi,True,2019-06-10 13:28:00,3.09,CHFS looking good
AZOZ,True,2019-06-10 12:51:00,3.11,CHFS FDA decision second half of 2019if they get approvealthe run will be Fast and Furious
NoRedDays,,2019-06-10 12:01:00,3.052,CHFS Watching closely for next dip if it happens Possible wedge here back over 320ish
notnonsense,True,2019-06-10 11:34:00,3.07,Wish CHFS can be like NBY Congrats NBY bulls
GDS_investing,True,2019-06-10 11:32:00,3.07,CHFS be ready for BIG REVERSAL bullish wedge BREAKOUT next skyrocket HUG bullish divergence low float volume or news can exploding LONG after 525 offering
okjasa,,2019-06-10 11:04:00,3.07,NETE NBY RBZ LMFA CHFS
Jared1166,,2019-06-10 10:30:00,3.03,CHFS PRPO Get in before the pump ladies and gents these are setting up for monster moves
Moneyman223,True,2019-06-10 09:56:00,3,CHFS big bounce coming
amir10,,2019-06-10 09:46:00,2.982,CHFS will dumped to pennies and than RS like always
