breed22,True,2019-06-11 15:53:00,66.1,GILD
STLCapitalGroupLLC,,2019-06-11 15:17:00,66.298,GILD long some here with stop at LOD will see been in penalty box for a while might pop on dividend players wanting in 70
OceanThunder7,True,2019-06-11 15:14:00,66.295,GILD investopediacomtermstth
OceanThunder7,,2019-06-11 15:10:00,66.308,GILD gileadcomnewsandpressp
OceanThunder7,,2019-06-11 14:58:00,66.207,GILD after wearing out the sellers today lets see if the bulls can take us back to HOD in last hour
Benzinga,,2019-06-11 14:45:00,66.257,Why LowFloat Thinly Traded ContraVir Pharmas Rally Is Continuing CTRV GILD ICPT benzingacomgeneralbiotec
EstimizeAlerts,,2019-06-11 14:36:00,66.277,GILD reported Antiviral Sales last quarter Next report is on 0724 AMC Jury is still out on expectations Whats yoursestimizecomintrogildcha
xosignalscom,True,2019-06-11 12:40:00,66.375,GILD we are long in gains but have a lot of margin to grow more xosignalscomenchartStoc buy guys its a great company
OceanThunder7,True,2019-06-11 11:44:00,66.726,GILD market turns up again we shoot through 67 IMO Strong results coming tomorrow
EstimizeAlerts,,2019-06-11 11:24:00,66.689,Heres what 25 Estimize analysts believe GILD will report for Q2 2019 EPS Reporting 0724 AMCestimizecomintrogildcha
Tiggerrrr,True,2019-06-11 10:54:00,66.68,GALT GILD The need to make up for lost sources of revenue and stimulate growth may encourage future MA GILD is trying to enter the NASH space and had some not so pretty results HMMMMMMM giddy up
OceanThunder7,,2019-06-11 10:15:00,66.513,GILD yield 385 to own at this price break even buying here and downside 63 Upside unlimited ODAY basically said we are buying a pipeline
DomLuminous,,2019-06-11 09:46:00,66.695,GILD hope GLPG runs to 200 then gilead has to buy over 250
OceanThunder7,,2019-06-11 09:38:00,66.567,GILD 6684 hard line resistance and treadline at 67 a bust through lookout its running
