msoi,True,2019-06-13 15:17:00,2.135,AKS 25 in few weeks
Golferbob,,2019-06-13 14:33:00,2.137,X AKS CLF Happy with the day Id like to see x go above 1426 to take out a short stop loss Not the time to be shorting much of anything really Definitely not here
Unobtainium,True,2019-06-13 14:13:00,2.13,AKS American Steel
Redwings01,True,2019-06-13 13:44:00,2.128,AKS Come on 5 Dont beat me up just need 5 again Dont ask
maico2002,True,2019-06-13 13:37:00,2.124,AKS
Golferbob,,2019-06-13 13:24:00,2.13,X CLF AKS All thats left till 15 is taking out Tuesdays high around 1450 I forget but thats close enough for now If clf can stay over 979 then the next stop is 1004 Aks Im still looking at 230s though thatll happen the same time x gets 15 most likely Gl folks ride them
rdymsr,,2019-06-13 12:58:00,2.125,NUE X AKS STLD steel up nice surprise HR and CR prices crashing and mills not full Must like the dividends
Golferbob,,2019-06-13 12:27:00,2.13,X AKS CLF Ok finally getting into the meat of things On cue Time to move even higher
SAURA0808,False,2019-06-13 11:37:00,2.11,X all the major steel makers are 2 3 up today STLD MT AKS What happened to this baby can it even touch the yesterdays high
drmcsr,True,2019-06-13 10:19:00,2.08,AKS lets move if I wanted stagnation Id keep my money under my mattress
Drock99901,,2019-06-13 09:32:00,2.09,AKS scrap prices down 1013 From 2 wks ago THAT is way more benefical for NUE and mini mills than for AKSX also hurts CLF HBI pricing
