Doozio,7.9,0.67,3.0,0.0
derekjames,6.5,1.33,4.0,1.0
DominantInvestorsApp,5.34,0.48,1.0,0.0
protrader55,4.97,5.7,7.0,4.0
onelia,1.19,6.67,1.0,0.0
boscolondo,0.21,1.75,1.0,0.0
s0phisticatedtrdr,0.09,0.23,1.0,1.0
bhargavg2002,0.08,8.33,1.0,0.0
Lucy2678,0.08,20.0,1.0,1.0
h00sez,-0.03,33.33,0.0,1.0
healthcareguru,-0.09,0.96,0.0,1.0
MartianMoneyHunter,-0.54,3.33,0.0,1.0
kagrawala,-0.73,7.14,0.0,1.0
abubnic,-0.81,3.64,1.0,1.0
edfranco2389,-1.68,25.0,0.0,1.0
MiguelWins,-1.71,1.72,0.0,1.0
stockguy17,-2.11,1.26,1.0,3.0
BTrades23,-3.93,3.12,0.0,1.0
