Ascenter,18.18,100.0,4.0,0.0
RollTheDice777,14.35,2.34,3.0,1.0
cashstock007,8.65,11.11,1.0,0.0
topstockalerts,5.1,0.09,1.0,0.0
ktnptl,5.05,100.0,1.0,0.0
swingtrade7,5.05,0.42,1.0,0.0
BishBish,-0.14,0.39,0.0,1.0
Darkfyre,-0.35,2.7,0.0,1.0
Dustin5600,-0.35,5.0,0.0,1.0
fu2fu2,-0.35,6.25,0.0,1.0
IdecideTheMarket,-0.35,3.57,0.0,1.0
Manraj777,-0.35,1.33,0.0,1.0
Apothy,-1.83,2.04,0.0,1.0
christrader7,-1.83,1.16,0.0,1.0
sanketnagrecha,-1.83,1.72,0.0,1.0
Ahri,-4.01,1.35,0.0,3.0
tradegator,-6.64,1.61,0.0,1.0
stocksMania,-13.29,0.51,0.0,2.0
