natanr,8.86,2.34,5.0,4.0
jh33,6.99,7.25,4.0,1.0
sdbywf,4.43,6.94,4.0,1.0
spherehere,3.64,0.58,2.0,2.0
Louie8,3.62,0.74,1.0,0.0
cheddafoeva,3.62,0.75,1.0,0.0
BTrades23,2.71,3.12,1.0,0.0
MMASTOCKS,2.67,1.41,2.0,0.0
Felperna,1.72,7.69,1.0,0.0
bdongin,1.72,33.33,1.0,0.0
Scalper123,1.72,1.19,1.0,0.0
lemorin1,1.72,1.89,1.0,0.0
optionsaddict,1.65,14.29,1.0,0.0
sleekOptions,0.94,0.29,9.0,6.0
chk2016,0.7,14.29,1.0,0.0
BullYa,0.7,0.24,1.0,0.0
Jamtrades,0.7,0.52,1.0,0.0
ytareen818,0.69,1.56,1.0,0.0
atruswell,0.58,1.45,1.0,0.0
billgunderson,0.21,9.09,1.0,0.0
captainJack33,0.21,20.0,1.0,0.0
Karpoligiano,-0.49,8.33,2.0,1.0
drb1982,-0.7,100.0,0.0,1.0
nadav10d,-0.7,33.33,0.0,1.0
kzaznjai,-0.7,7.69,0.0,1.0
Borneoman,-0.7,4.76,0.0,1.0
Cool31286,-0.7,1.69,0.0,1.0
Bigbullish,-0.75,9.09,0.0,1.0
Frowns88,-0.86,25.0,0.0,1.0
superfutures,-0.9,4.35,0.0,1.0
upandupup,-1.39,13.33,0.0,2.0
TraderBoy777,-1.72,2.04,0.0,1.0
HollyGrail,-2.44,2.56,0.0,1.0
Tracker7,-3.03,1.75,0.0,1.0
mvr1010,-3.62,2.13,0.0,1.0
Followthislogic,-3.69,4.55,0.0,1.0
Mom1,-13.4,46.51,7.0,13.0
