lolercoptr,27.3,2.27,3.0,0.0
natanr,24.11,1.82,6.0,1.0
RecessionAverted2019,18.2,1.32,2.0,0.0
stocksnetwork,18.2,6.9,2.0,0.0
itsallaboutheoptions,17.68,1.1,6.0,2.0
TheNamelessKing,11.32,1.3,2.0,0.0
desaiparth1812,9.14,24.14,6.0,1.0
BeCOYOS,9.1,0.63,1.0,0.0
FullyProfitable,9.1,1.75,1.0,0.0
Giants2017,9.1,1.02,1.0,0.0
GoodInvestor,9.1,1.47,1.0,0.0
nickwatchhill,9.1,4.0,1.0,0.0
nimaa,9.1,1.85,1.0,0.0
DetroitDaveOptionsPlayer,6.56,0.77,2.0,0.0
hinduhamma,5.66,0.26,1.0,0.0
SD1247,5.66,16.67,1.0,0.0
WullStrit,5.66,2.0,1.0,0.0
StockTrader234,5.6,0.95,1.0,1.0
StocksDoc1,4.89,50.0,2.0,2.0
marketboss,3.46,64.29,5.0,4.0
insticttrader,3.44,25.0,1.0,1.0
2hikeJarome,3.32,4.44,19.0,5.0
CChartist,2.8,1.64,1.0,0.0
CityOnTheEdgeOfForever,2.8,0.2,1.0,0.0
oghowie,2.62,2.33,1.0,1.0
NewestGodzilla,2.29,2.16,2.0,1.0
Alset7,2.21,5.26,1.0,0.0
drpax,2.2,4.55,1.0,0.0
GuruTechTrendTrader,2.19,9.09,1.0,0.0
Banana3,2.08,0.22,1.0,0.0
BillionaireTechie,2.08,4.76,1.0,0.0
LiveTradePro,2.08,0.15,1.0,0.0
SharePlanner,1.87,5.88,1.0,0.0
dalilama03,1.41,4.76,1.0,0.0
AlwaysBeChartin,1.16,12.5,3.0,1.0
JDEW,1.13,3.94,3.0,2.0
Poopoo,0.86,0.65,1.0,0.0
shortSaleGuru,0.83,5.26,1.0,0.0
JustBenny,0.73,0.43,1.0,0.0
Helper,0.39,1.58,1.0,5.0
calibre,0.35,3.7,1.0,0.0
citygirlj,0.35,1.16,1.0,0.0
ElonMaskRocks,0.35,0.64,1.0,0.0
mdemarc1,0.35,5.88,1.0,0.0
PhilanthropicTrader,0.35,5.0,1.0,0.0
NormalPerson,0.3,3.28,1.0,1.0
SDI100X,0.04,3.23,1.0,0.0
ScubaStevey,-0.0,5.56,1.0,1.0
Stockrow1,-0.16,8.33,1.0,1.0
HurtByBubble,-0.18,10.0,0.0,1.0
riyasnr007,-0.21,2.86,0.0,1.0
alluison,-0.35,20.0,0.0,1.0
CypressTrades,-0.35,1.33,0.0,1.0
GoodNewsBull,-0.35,0.09,0.0,1.0
LowercaseCapital,-0.35,1.72,0.0,1.0
NDX100,-0.35,1.11,0.0,1.0
pc93,-0.35,3.7,0.0,1.0
stocksharksalerts,-0.35,4.17,0.0,1.0
TeemoTop,-0.35,10.0,0.0,1.0
Yakha,-0.35,0.27,0.0,1.0
Zingerman,-0.54,33.33,0.0,2.0
sleekOptions,-0.58,0.44,9.0,14.0
GainsAllDay,-0.71,18.18,0.0,2.0
ninjakitty,-0.73,25.0,0.0,1.0
calmwater2000,-0.9,1.37,0.0,1.0
OptionsPlay,-0.9,1.19,0.0,1.0
tickertutor,-1.06,0.29,0.0,3.0
busterstacks,-1.11,14.71,0.0,5.0
gl0bu,-1.21,7.69,0.0,1.0
WallStreetGents,-1.47,5.26,0.0,1.0
TradinTemplar,-1.64,3.33,0.0,2.0
JDR1983,-1.7,0.17,0.0,1.0
androsForm,-1.81,0.87,0.0,2.0
pauleev,-2.21,0.95,0.0,1.0
OpinicusTrades,-3.89,6.67,2.0,3.0
stockSoorma,-5.66,4.17,0.0,1.0
TT23,-5.74,1.45,0.0,2.0
mydixiewreckt,-8.19,1.06,1.0,1.0
smejia4086,-8.24,3.94,3.0,5.0
BasketTrader,-8.41,7.56,5.0,17.0
slmnow,-8.71,26.67,2.0,2.0
BIGKG,-9.1,0.14,0.0,1.0
rupert1,-22.42,1.44,6.0,3.0
THEMONEYHAND,-27.3,9.09,0.0,3.0
