smitty3508,2365.57,86.36,355.0,25.0
SerialTrader72,1565.36,3.86,83.0,1.0
MasterChi,1459.81,9.65,60.0,0.0
BillionairesBoysClub,1332.82,35.0,55.0,8.0
je123,1264.42,64.0,101.0,11.0
MeTarzan,1097.78,52.74,84.0,22.0
JustAskJay,1034.7,94.44,62.0,6.0
tradesmctradey,932.54,54.12,46.0,0.0
Moneyman223,694.0,5.19,27.0,1.0
emmanuel5,605.58,24.0,23.0,7.0
Knadlecamp,573.69,8.96,23.0,1.0
jtruex12,549.85,69.57,16.0,0.0
BioStockDD,544.98,22.86,24.0,0.0
s0phisticatedtrdr,503.59,1.49,13.0,0.0
Analyzethisstock0324,498.13,16.13,20.0,0.0
SKRHINO,480.3,47.06,16.0,0.0
SubAtomic99,393.76,100.0,17.0,10.0
addicted2pennies,381.67,12.34,19.0,0.0
Neotrocity,381.39,13.38,13.0,6.0
Adirs3333,357.18,11.54,10.0,5.0
rakhe,348.64,45.0,9.0,0.0
Junkedup,334.38,19.84,21.0,4.0
tmoore711,320.26,33.01,28.0,6.0
TraderGOAT,309.9,13.56,8.0,0.0
YGLD,271.16,2.11,7.0,0.0
Mattusmc18,229.93,35.9,14.0,0.0
raihan60525,228.56,16.13,8.0,2.0
StockIt21,219.44,2.28,8.0,3.0
newbtrayder,217.85,17.31,6.0,3.0
perrysmith1,205.94,2.78,8.0,0.0
williambrannen,199.75,25.0,19.0,14.0
bluebluetuna,197.45,66.67,6.0,0.0
Sparkys226,193.69,6.76,5.0,0.0
Sbuelow76,177.53,10.99,10.0,0.0
Jhorn12,171.59,9.41,8.0,0.0
AllIn15,166.24,25.93,7.0,0.0
TheTradingTeam,158.82,6.71,6.0,4.0
PHRMaia,154.95,21.05,4.0,0.0
xiaoniu,154.95,2.88,4.0,0.0
agranville,131.7,20.51,8.0,0.0
Evilzone,121.56,55.56,5.0,0.0
BostonASmith92,119.98,40.0,4.0,0.0
shades88,116.21,10.0,3.0,0.0
aebberup16,116.21,15.0,3.0,0.0
stockemup45,116.21,2.48,3.0,0.0
krnsnwbd,116.21,4.05,3.0,0.0
MomentumStockSwings,116.21,2.5,3.0,0.0
stockbot1234,116.21,0.57,3.0,0.0
BullishGiraffe,111.34,61.11,11.0,0.0
