Phenix1,37.53,100.0,19.0,12.0
cleanhydro,35.16,90.77,31.0,28.0
P82,33.0,60.71,13.0,4.0
ATKTNC,26.1,55.56,3.0,2.0
PluggersBiggestFan,16.02,66.67,6.0,0.0
Girba,13.49,81.82,7.0,2.0
BearishTrader94,11.22,8.7,2.0,0.0
mharrington5650,11.0,1.2,2.0,0.0
SnowBallinNoob,8.0,9.52,2.0,0.0
51Mercury,5.4,5.88,2.0,0.0
Rickyjg86,4.96,21.05,3.0,1.0
Fgenn,4.81,66.67,1.0,1.0
GroMo,4.33,100.0,2.0,0.0
frjkzprince,4.16,25.0,2.0,0.0
sseu,3.63,3.33,1.0,0.0
Snoooop40,3.54,41.67,3.0,2.0
mickeytang,2.96,20.0,1.0,0.0
DialATutor2005,2.96,3.12,1.0,0.0
Billionaireclubcollc,2.7,0.88,2.0,0.0
atoolcircle,2.36,21.43,2.0,1.0
Blastoyce,1.48,10.0,1.0,0.0
Buffetbaby,0.88,12.5,1.0,0.0
Tricklettoaflood,0.67,100.0,2.0,1.0
dmathewg,0.64,100.0,2.0,1.0
dbl07,-0.32,23.53,2.0,2.0
Stilts617,-0.61,66.67,1.0,1.0
BullishbyNature,-0.83,50.0,0.0,2.0
Jazzzz,-0.94,3.03,0.0,1.0
DECISIVERESEARCH,-1.12,5.88,0.0,1.0
401coons,-1.25,2.86,0.0,1.0
TheBestCryptoGuidecom,-1.32,10.0,0.0,1.0
emoe,-1.34,50.0,0.0,2.0
TeachMeHowToStockie,-2.0,9.09,0.0,1.0
sap99,-2.95,42.86,1.0,2.0
pauleev,-3.48,2.7,0.0,1.0
IamJeanPaul,-6.19,9.52,0.0,2.0
redsstocktwits,-6.2,2.41,1.0,1.0
mjf7687,-9.91,33.33,3.0,5.0
ValueSwingTrader,-14.29,14.29,4.0,6.0
RedStick,-19.96,18.75,0.0,3.0
Ap0ll0,-26.65,100.0,11.0,17.0
DeplorableIrredeemable,-40.89,100.0,8.0,21.0
kodokgendut1,-467.76,93.33,8.0,6.0
