JDR1983,45.77,23.91,9.0,2.0
CorvetteFund,26.95,20.0,2.0,1.0
Synchronization,19.23,92.11,16.0,19.0
flipping,11.28,21.31,5.0,8.0
ask26,11.21,12.5,2.0,0.0
tradercalloptions,10.78,25.0,1.0,0.0
thatguycody17,9.89,83.33,3.0,2.0
Rowie,4.72,2.94,1.0,0.0
robsdream12,2.92,25.0,1.0,0.0
Iwillplay,-0.04,3.33,0.0,1.0
AntoineChigurh,-0.82,100.0,0.0,1.0
SoarnBy,-0.87,25.0,0.0,1.0
Chasing,-1.94,16.67,0.0,1.0
Frank352019,-3.83,2.86,0.0,1.0
Vesper007,-5.4,50.0,0.0,1.0
Fredsavage911,-11.38,15.0,1.0,5.0
Sexaddict,-15.65,3.79,0.0,5.0
delkins33,-19.33,3.7,0.0,1.0
EvilCloudyy,-35.19,10.53,0.0,2.0
stockyappleseed,-114.81,16.67,0.0,3.0
sailsteady,-159.37,55.56,3.0,2.0
PULMSHORT,-277.59,100.0,7.0,22.0
