ern1in,16.36,40.91,18.0,27.0
ivosplash,9.3,29.55,9.0,4.0
ians,5.25,5.24,7.0,4.0
lynntnic,3.29,13.04,3.0,0.0
tomwalt,3.01,5.97,3.0,1.0
saab93boi,3.0,18.18,2.0,0.0
powerbullray98,2.46,9.09,2.0,0.0
Willrise23,2.29,3.16,3.0,0.0
SmartestMoney,2.14,0.75,2.0,0.0
AustinJamison,2.0,9.09,2.0,0.0
Askalot,1.45,0.78,1.0,0.0
Bigarena,1.38,22.22,1.0,1.0
Retro807,0.9,14.29,1.0,0.0
donp2184,0.79,2.0,1.0,0.0
ShikuShak,0.45,5.56,1.0,0.0
LuigiMoro,0.29,4.08,2.0,2.0
GrumpyDingus,-0.06,7.69,0.0,1.0
dukeofbelair,-2.28,22.22,1.0,1.0
