CryptoCrockett,39.05,12.87,12.0,1.0
tinydoll,34.65,18.67,11.0,3.0
NBI,28.18,17.78,7.0,1.0
TXmoneymaker,27.69,37.5,8.0,1.0
ThirdEye2020,26.64,1.66,4.0,1.0
battlemage,23.42,93.33,9.0,5.0
SharkMoneyinc,21.31,4.58,6.0,0.0
Wormeaful,20.66,21.28,7.0,3.0
DonaldKim,16.77,50.0,4.0,1.0
GOLDFINGER5,13.79,9.09,4.0,1.0
chieftk805,13.72,25.0,2.0,0.0
zokiki,13.12,27.78,3.0,2.0
Xenocode,12.54,33.33,5.0,2.0
hikingthehills,11.39,0.76,3.0,0.0
V3DRAN,11.39,5.26,3.0,0.0
Harden257,9.07,27.27,2.0,1.0
tx2play20,8.98,33.33,4.0,2.0
Archidion,8.09,25.0,3.0,1.0
s0phisticatedtrdr,7.72,0.23,2.0,0.0
Climber,7.48,0.36,1.0,0.0
sbaichev,7.48,50.0,1.0,0.0
golong411,6.99,4.92,2.0,1.0
EZMac,6.86,2.17,1.0,0.0
jtruex12,6.86,4.35,1.0,0.0
Kisswen,6.86,7.69,1.0,0.0
Marq13,6.86,20.0,1.0,0.0
MayBull74,6.86,0.26,1.0,0.0
HollyGrail,4.65,2.56,1.0,0.0
ishhh,4.65,2.22,1.0,0.0
Oracleofny,4.65,1.75,1.0,0.0
scac,4.65,1.39,1.0,0.0
smc66car,4.65,0.89,1.0,0.0
codysteil,4.64,33.33,1.0,0.0
Limeiscool,4.25,0.36,1.0,0.0
MrMP,4.25,2.04,1.0,0.0
cmknott,3.86,4.0,1.0,0.0
gutierrezomarjr,3.86,50.0,1.0,0.0
StopLossZone,3.86,6.67,1.0,0.0
2277plexar,3.8,11.11,1.0,0.0
gameon1313,3.8,0.73,1.0,0.0
Jpn5,3.8,50.0,1.0,0.0
Mr000,3.8,8.33,1.0,0.0
pattiG,3.8,1.09,1.0,0.0
mattandy1018,3.68,1.67,1.0,0.0
spicygoo,2.65,1.52,1.0,0.0
Atrades247,2.32,3.45,1.0,0.0
Kosrae,2.32,50.0,1.0,0.0
Panicmode,2.32,1.52,1.0,0.0
sgvme,2.22,14.29,1.0,1.0
1gregarious1,1.51,100.0,1.0,0.0
Scthouston,1.42,40.0,6.0,8.0
50kin24hours,1.37,0.57,1.0,0.0
Raymo,1.37,1.41,1.0,0.0
Slingshot,0.93,0.09,1.0,1.0
PMD777,0.78,4.76,1.0,0.0
mechatronic86,0.63,2.78,2.0,0.0
Primigy,0.26,7.27,2.0,2.0
TheCulpster,0.18,0.98,1.0,1.0
bhargavg2002,0.07,16.67,1.0,1.0
SerialStockGains,0.05,0.35,1.0,0.0
alex1018,0.02,25.0,1.0,0.0
SumwaySumhow,0.02,5.56,1.0,0.0
Bulldogs79,-0.07,3.85,0.0,1.0
CPAYYYY,-0.07,2.78,0.0,1.0
fyremunky,-0.07,33.33,0.0,1.0
minemilldrillbuild,-0.07,1.85,0.0,1.0
mlpnko11,-0.07,100.0,0.0,1.0
Palove0303,-0.2,3.67,1.0,3.0
stphb,-0.21,9.43,2.0,3.0
mitigator,-0.29,3.57,0.0,4.0
cyclicalwess,-0.35,7.14,0.0,1.0
tradebrave7,-0.77,3.77,1.0,1.0
DialATutor2005,-1.4,4.26,1.0,1.0
Gobabygo,-1.51,3.33,0.0,1.0
trebormesos,-1.51,2.22,0.0,1.0
Coastalbassin,-1.64,22.58,3.0,4.0
ssp33dy,-1.72,2.08,0.0,1.0
thechickendance187,-1.72,4.76,0.0,1.0
steveissuperman,-1.98,2.35,0.0,2.0
somnium,-2.25,16.67,0.0,1.0
duckduckgoldengoose,-2.37,5.56,0.0,1.0
dvirgr,-2.4,12.5,0.0,2.0
denisprnl,-2.65,1.69,0.0,1.0
Gijo,-2.65,1.61,0.0,1.0
WolfOfHarlem,-2.65,0.92,0.0,1.0
ShortCrusher,-2.72,66.67,0.0,2.0
CriticalBull,-2.76,0.81,0.0,1.0
Lamda,-3.71,16.67,1.0,1.0
77Samurais,-3.73,14.29,0.0,1.0
alonzo11,-3.73,0.79,0.0,1.0
bgmt,-3.73,0.58,0.0,1.0
brathbone,-3.73,9.09,0.0,1.0
Enzo76,-3.73,1.75,0.0,1.0
EricPlayingStocks,-3.73,2.44,0.0,1.0
ironwill21,-3.73,0.34,0.0,1.0
jasond1,-3.73,2.94,0.0,1.0
Javan094,-3.73,12.5,0.0,1.0
miggy4243,-3.73,6.67,0.0,1.0
PickEmLow,-3.73,0.3,0.0,1.0
Ptown22,-3.73,16.67,0.0,1.0
r1ryderz08,-3.73,0.42,0.0,1.0
seanumi,-3.73,5.88,0.0,1.0
thottyboy,-3.73,20.0,0.0,1.0
trad9999,-3.86,100.0,0.0,1.0
NasdaqSnipper,-3.89,0.95,0.0,1.0
shortsdestroyer,-4.25,8.33,0.0,1.0
KwLawyerDre,-4.33,10.71,7.0,8.0
Apog294,-4.64,9.09,0.0,1.0
BillyCashIsKing,-4.64,2.5,0.0,1.0
Cberribomb,-4.64,2.38,0.0,1.0
Musicman82,-4.64,1.32,0.0,1.0
QTStocks,-4.64,2.08,0.0,1.0
rickdiculous81789,-4.64,0.22,0.0,1.0
Xisting4u,-4.64,4.0,0.0,1.0
Inkxslinger,-4.65,4.55,0.0,1.0
itachiu,-5.46,100.0,0.0,2.0
BullishTradings,-7.45,0.52,0.0,2.0
Thedream123,-7.45,3.57,0.0,2.0
Albertjpn,-7.46,5.71,0.0,2.0
francisalbert,-7.94,13.04,0.0,3.0
zkyc,-8.73,3.92,0.0,4.0
Kimochii,-9.03,2.38,0.0,3.0
DirtyBelfort,-9.28,1.09,0.0,2.0
MomentumStockSwings,-9.28,1.67,0.0,2.0
surfersean20,-9.28,1.36,0.0,2.0
ChrisGDC,-11.18,3.23,0.0,3.0
RT3DayTrader,-11.18,3.26,0.0,3.0
amigogalda,-11.47,37.5,0.0,3.0
thaduke,-12.92,6.78,0.0,4.0
Dbe89,-13.52,28.57,4.0,8.0
3xMaster,-13.83,3.2,0.0,4.0
SamWiser,-14.44,20.29,5.0,9.0
Adirs3333,-14.91,3.08,0.0,4.0
lxnr,-15.82,60.0,1.0,5.0
JP95Trader,-16.04,34.62,2.0,7.0
C0zWeMadeIt,-16.1,8.2,2.0,8.0
Tigerphoenix,-18.63,15.91,1.0,6.0
JoeStockTrader,-19.79,1.63,0.0,5.0
Jedi77,-21.38,1.95,0.0,5.0
Angieonstock,-21.66,12.28,1.0,6.0
Benblack3113,-23.21,8.06,0.0,5.0
Zanbull,-23.26,10.0,1.0,4.0
constantlygreen,-32.49,2.59,0.0,7.0
Vikingsixty2,-61.71,11.84,7.0,42.0
stockITup18,-64.84,64.22,13.0,57.0
jediferni5,-68.36,10.77,0.0,14.0
BigDaddySkeets,-89.35,11.89,3.0,26.0
BigDreams2020,-250.8,16.19,1.0,130.0
