TNXP,2.86,3,0,93.84
CREG,18.1,9,10,26.86
SFET,4.76,5,0,21.93
SPI,0.95,1,0,6.34
BLIN,3.81,4,0,3.76
OPTT,0.95,1,0,3.64
FB,0.95,1,0,2.97
FLKS,3.81,2,2,2.16
TYHT,2.86,1,2,1.05
PRPO,2.86,3,0,0.63
GTXI,3.81,3,1,0.48
NOC,0.95,1,0,0.35
CTRV,1.9,2,0,0.14
ICHR,0.95,1,0,0.06
RHE,1.9,0,2,0.0
CLD,0.95,0,1,-0.06
SFIX,0.95,0,1,-1.39
INPX,3.81,1,3,-2.59
AAPL,1.9,0,2,-3.73
RSLS,4.76,1,4,-3.86
CHFS,2.86,1,2,-5.27
GLBS,8.57,4,5,-5.88
GRIN,5.71,3,3,-8.91
IPCI,5.71,1,5,-23.7
AYTU,13.33,2,12,-44.69
