CGC,6.7,37,11,45.91
ETSY,9.36,41,26,44.92
SAVE,0.42,3,0,3.16
CRHM,0.14,1,0,3.09
UNFI,0.42,3,0,1.82
WTW,0.42,1,2,1.82
BOXL,0.42,3,0,1.53
BHC,0.14,1,0,1.25
AMAT,0.14,1,0,0.94
SBH,0.14,1,0,0.92
TTPH,1.12,3,5,0.69
SPY,1.26,5,4,0.56
PCG,0.28,1,1,0.49
DDD,0.28,2,0,0.2
DENN,0.14,1,0,0.13
BMY,0.14,1,0,0.05
BERY,0.14,0,1,-0.01
BEL,0.14,0,1,-0.06
SWN,0.14,0,1,-0.1
KORS,0.56,0,4,-0.11
MANH,0.14,0,1,-0.56
BAC,0.14,0,1,-0.6
CAR,0.14,0,1,-0.72
CRZO,0.14,0,1,-0.86
CORT,0.14,0,1,-1.18
MOMO,0.56,2,2,-2.05
SLS,0.14,0,1,-3.18
CSCO,1.4,1,9,-3.31
BTI,0.56,0,4,-4.77
MU,1.4,1,9,-5.8
SUM,0.14,0,1,-7.15
UWT,0.28,0,2,-8.32
UAA,3.35,7,17,-10.09
ROKU,3.63,14,12,-11.5
SQ,2.93,3,18,-17.33
GOGO,1.54,7,4,-19.09
XPO,0.42,0,3,-21.23
AMD,5.87,18,24,-25.19
MBOT,0.7,2,3,-33.31
ACHN,4.05,9,20,-40.0
CRON,11.59,28,55,-49.62
GUSH,4.33,4,27,-72.52
UGAZ,3.07,5,17,-73.66
AMRN,4.05,0,29,-147.6
NBEV,26.82,104,88,-184.33
