APHA,3.98,6,1,62.74
AMD,3.41,6,0,16.85
BABA,34.09,23,37,15.74
CGC,15.91,21,7,7.37
MU,0.57,1,0,7.36
YECO,0.57,1,0,7.29
JD,2.27,4,0,7.17
TLRY,2.27,2,2,6.81
NBEV,0.57,1,0,4.77
HYRE,0.57,1,0,2.68
TNDM,0.57,1,0,2.07
UNG,0.57,1,0,1.18
HUYA,0.57,1,0,0.39
NVDA,0.57,1,0,0.26
HEAR,0.57,1,0,0.17
FB,0.57,1,0,0.16
QQQ,0.57,1,0,0.01
HD,0.57,0,1,-0.02
ULTA,1.14,0,2,-0.41
NFLX,2.84,2,3,-0.42
GOOS,0.57,0,1,-0.52
TTWO,0.57,0,1,-1.04
SPY,14.77,13,13,-1.1
ROKU,0.57,0,1,-1.16
TSLA,2.27,1,3,-1.24
DB,0.57,0,1,-2.22
IQ,3.41,3,3,-2.74
UVXY,0.57,0,1,-5.13
MTCH,3.98,5,2,-6.29
