MICT,2019-01-16 10:48:00,0.9396,0.8712,True,0,-0.0684,-7.27969,0,0,0.9322,0.893,0.9143
MICT,2019-01-15 14:33:00,1.027,0.9337,True,0,-0.0933,-9.08471,1,0,0.9655,0.8565,0.9158
WFT,2019-01-03 11:16:00,0.3864,0.4129,True,1,0.0265,6.85818,3,0,0.4001,0.4591,0.5
CRMD,2019-01-02 12:05:00,1.38,1.381,True,1,0.001,0.07246,0,1,1.35,1.376,1.355
MU,2018-12-31 10:59:00,31.643,30.931,True,0,-0.712,-2.2501,2,0,31.673,32.061,32.465
CRMD,2018-12-31 10:44:00,1.287,1.27,True,0,-0.017,-1.3209,2,0,1.254,1.29,1.28
MU,2018-12-27 15:53:00,31.904,31.839,True,0,-0.065,-0.20374,0,0,31.733,32.173,31.562
CRMD,2018-12-27 13:04:00,1.318,1.294,True,0,-0.024,-1.82094,3,0,1.25,1.324,1.334
ASNS,2018-12-26 15:18:00,2.655,2.62,True,0,-0.035,-1.31827,3,0,2.696,2.5,2.503
CRMD,2018-12-13 10:07:00,1.456,1.47,True,1,0.014,0.96154,3,7,1.422,1.46,1.441
MU,2018-12-11 11:16:00,35.208,35.897,True,1,0.689,1.95694,3,2,35.815,35.856,35.758
RRTS,2018-11-12 11:11:00,0.6106,0.6496,True,1,0.039,6.38716,1,2,0.6188,0.6288,0.622
RRTS,2018-11-07 10:36:00,0.5301,0.51,True,0,-0.0201,-3.79174,1,0,0.5099,0.5213,0.5251
