PCG,2019-01-16 14:06:00,7.043,8.151,False,0,1.108,15.73193,5,0,6.535,7.634,7.377
KTOV,2019-01-16 14:01:00,1.6,1.644,False,0,0.044,2.75,0,0,1.65,1.468,1.532
KTOV,2019-01-16 13:46:00,1.6,1.644,False,0,0.044,2.75,6,0,1.784,1.468,1.532
KTOV,2019-01-16 13:37:00,1.6,1.644,False,0,0.044,2.75,0,0,1.81,1.468,1.532
KTOV,2019-01-16 12:28:00,1.6,1.644,False,0,0.044,2.75,0,4,2.331,1.468,1.532
KTOV,2019-01-16 11:28:00,1.6,1.644,False,0,0.044,2.75,0,1,2.12,1.468,1.532
KTOV,2019-01-16 11:25:00,1.6,1.644,False,0,0.044,2.75,1,0,2.147,1.468,1.532
KTOV,2019-01-16 10:50:00,1.6,1.644,False,0,0.044,2.75,0,3,2.192,1.468,1.532
TTNP,2019-01-04 11:43:00,0.2677,0.273,True,1,0.0053,1.97983,1,0,0.2668,0.2679,0.2699
CELG,2019-01-03 14:53:00,81.133,82.288,False,0,1.155,1.42359,2,1,81.257,84.681,84.817
TTNP,2019-01-03 14:05:00,0.2387,0.2312,True,0,-0.0075,-3.14202,2,0,0.2359,0.2422,0.2426
CELG,2019-01-03 12:44:00,81.133,82.288,False,0,1.155,1.42359,0,3,82.786,84.681,84.817
PCG,2019-01-02 12:38:00,23.785,23.851,False,0,0.066,0.27749,1,1,24.155,23.7,23.592
TTNP,2018-12-27 11:31:00,0.232,0.2201,True,0,-0.0119,-5.12931,1,1,0.2203,0.2159,0.2171
TTNP,2018-12-27 09:37:00,0.232,0.2201,True,0,-0.0119,-5.12931,1,0,0.2317,0.2159,0.2171
GSK,2018-12-19 11:37:00,37.449,38.24,True,1,0.791,2.11221,2,0,38.26,38.12,38.16
SPY,2018-12-13 09:51:00,265.476,262.98,False,1,-2.496,-0.9402,1,0,266.352,263.637,262.847
TTNP,2018-11-30 12:50:00,0.337,0.3323,True,0,-0.0047,-1.39466,1,0,0.3311,0.3234,0.317
TTNP,2018-11-28 10:24:00,0.3411,0.34,True,0,-0.0011,-0.32249,7,0,0.349,0.3405,0.3449
TTNP,2018-11-16 09:32:00,0.3869,0.3841,True,0,-0.0028,-0.7237,1,0,0.3832,0.3696,0.3696
TTNP,2018-11-14 13:35:00,0.4533,0.4353,True,0,-0.018,-3.97088,5,0,0.4205,0.4029,0.4044
TTNP,2018-11-14 12:21:00,0.4533,0.4353,True,0,-0.018,-3.97088,4,2,0.4531,0.4029,0.4044
TTNP,2018-11-14 12:08:00,0.4533,0.4353,True,0,-0.018,-3.97088,2,0,0.454,0.4029,0.4044
TTNP,2018-11-14 11:41:00,0.4533,0.4353,True,0,-0.018,-3.97088,2,7,0.4512,0.4029,0.4044
TTNP,2018-11-14 10:50:00,0.4533,0.4353,True,0,-0.018,-3.97088,7,0,0.4693,0.4029,0.4044
TTNP,2018-11-14 10:35:00,0.4533,0.4353,True,0,-0.018,-3.97088,3,2,0.4553,0.4029,0.4044
TTNP,2018-11-09 12:45:00,0.409,0.4186,True,1,0.0096,2.34719,1,0,0.3993,0.4174,0.4113
TTNP,2018-11-08 10:27:00,0.4081,0.3954,True,0,-0.0127,-3.11198,1,0,0.3924,0.398,0.3944
